厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
火币全球站,https://www.huobi.co,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,0.9412,无上限,无上限,3.37 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.8235,无上限,无上限,3.13 ETH,0.57 ETH
币安网,https://www.binance.com,A,0.7647,无上限,无上限,3.02 ETH,0.56 ETH
Bit-Z,https://www.bitz.com/,A,0.7059,无上限,无上限,2.91 ETH,0.55 ETH
DigiFinex,https://www.digifinex.com,A,0.6471,无上限,无上限,2.81 ETH,0.54 ETH
ZT.COM,https://www.zt.com/,A,0.2353,无上限,无上限,2.17 ETH,0.47 ETH
HitBTC,https://hitbtc.com,A,0.0588,无上限,无上限,1.94 ETH,0.44 ETH
CoinTiger,https://www.cointiger.one,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
ZB网,https://www.zb.com,B,0.9737,1.49 ETH,1.0 ETH,0.6 ETH,0.25 ETH
FUBT,https://www.fubt.com,B,0.9474,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Bibox,https://www.bibox.com/,B,0.9211,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Upbit,https://upbit.com/home,B,0.8421,1.45 ETH,1.0 ETH,0.58 ETH,0.22 ETH
雷盾交易所,https://www.loex.io,B,0.7895,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
CDAE,https://www.cdaevip.com,B,0.7632,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
Bithumb,https://www.bithumb.com/,B,0.7368,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
BITKER,https://www.bitker.com/,B,0.6842,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
IDAX,https://www.idax.pro/,B,0.6316,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.5789,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
Bitfinex,https://www.bitfinex.com,B,0.5526,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
BiKi,https://www.biki.com,B,0.4737,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
Liquid,https://www.liquid.com/,B,0.4474,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
BCEX,https://www.bcex.hk,B,0.2895,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.2632,1.29 ETH,1.0 ETH,0.48 ETH,0.08 ETH
BIONE,https://www.bione.cc/,B,0.2368,1.28 ETH,1.0 ETH,0.47 ETH,0.08 ETH
东方交易所,https://www.dfex.com/,B,0.2105,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
K网,https://www.kraken.com,B,0.1579,1.26 ETH,1.0 ETH,0.46 ETH,0.05 ETH
胖比特,https://www.fatbtc.com,B,0.1053,1.25 ETH,1.0 ETH,0.45 ETH,0.04 ETH
融币,https://www.rongbiexchange.com,B,0.0789,1.24 ETH,1.0 ETH,0.44 ETH,0.03 ETH
OCX,https://www.ocx.com/,C,0.9773,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
ZG.TOP,https://www.zg.top/,C,0.9659,1.2 ETH,0.8 ETH,0.29 ETH,0.1 ETH
Hubi,https://www.hubi.com/,C,0.9318,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
Bitstamp,https://www.bitstamp.net,C,0.9432,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
KKCoin,https://www.kkcoin.com,C,0.8977,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
IDCM,https://www.idcm.cc/,C,0.8864,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
比太网,https://www.btex.com/,C,0.875,1.19 ETH,0.79 ETH,0.28 ETH,0.08 ETH
CoinBene,https://www.coinbene.com/,B,0.1842,1.27 ETH,1.0 ETH,0.46 ETH,0.06 ETH
B网,https://bittrex.com,C,0.8523,1.18 ETH,0.79 ETH,0.27 ETH,0.08 ETH
AEX,https://www.aex.com/,C,0.8295,1.18 ETH,0.78 ETH,0.27 ETH,0.08 ETH
ZZEX,https://www.zzex.pro,C,0.8182,1.18 ETH,0.78 ETH,0.27 ETH,0.08 ETH
gate.io,https://gateio.news/,C,0.8068,1.18 ETH,0.78 ETH,0.26 ETH,0.08 ETH
Allcoin,https://www.allcoinex.io,C,0.7955,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
炒客网,https://www.chaoex.info,C,0.7841,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
Q网,https://www.myqbtc.com,C,0.7273,1.17 ETH,0.78 ETH,0.25 ETH,0.06 ETH
Bitbank,https://bitbank.cc,C,0.6023,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
WR.NET,https://www.wr.net/,C,0.5909,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
ZG.com,https://www.zg.com/,C,0.5795,1.15 ETH,0.76 ETH,0.21 ETH,0.04 ETH
Y网,https://y.ceo,C,0.5341,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
双子星,https://gemini.com/,C,0.5227,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
bitFlyer,https://bitflyer.jp/,C,0.5,1.15 ETH,0.75 ETH,0.19 ETH,0.02 ETH
P网,https://poloniex.com,C,0.4886,1.15 ETH,0.75 ETH,0.19 ETH,0.02 ETH
火币韩国站,https://www.huobi.co.kr/,C,0.4432,1.14 ETH,0.75 ETH,0.18 ETH,0.01 ETH
Coinone,https://coinone.co.kr/,C,0.375,1.13 ETH,0.74 ETH,0.16 ETH,0.01 ETH
KuCoin,https://www.kucoin.com,C,0.3636,1.13 ETH,0.74 ETH,0.16 ETH,0.01 ETH
itBit,https://www.itbit.com,C,0.3295,1.13 ETH,0.74 ETH,0.15 ETH,0.01 ETH
Exmo,https://exmo.com/,C,0.2955,1.13 ETH,0.73 ETH,0.14 ETH,0.01 ETH
Coincheck,https://coincheck.com/,C,0.25,1.12 ETH,0.73 ETH,0.13 ETH,0.01 ETH
酷币,https://www.coolcoin.com,C,0.1591,1.11 ETH,0.72 ETH,0.1 ETH,0.01 ETH
YoBit,https://yobit.net,C,0.1364,1.11 ETH,0.72 ETH,0.1 ETH,0.01 ETH
Zaif,https://zaif.jp,C,0.125,1.11 ETH,0.72 ETH,0.09 ETH,0.01 ETH
HPX,https://www.hpx.com/,C,0.0909,1.1 ETH,0.71 ETH,0.08 ETH,0.01 ETH
BitBay,https://bitbay.net,C,0.0455,1.1 ETH,0.71 ETH,0.07 ETH,0.01 ETH
STEX,https://www.stex.com,C,0.0341,1.1 ETH,0.71 ETH,0.06 ETH,0.01 ETH
Livecoin,https://www.livecoin.net/,C,0.0227,1.1 ETH,0.71 ETH,0.06 ETH,0.01 ETH
BTCBOX,https://www.btcbox.co.jp/,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
BigONE,https://big.one,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
Luno,https://www.luno.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
CEO交易所,https://ceohk.bi,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
DSX,https://dsx.uk,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
OkCoin韩国站,https://www.okcoinkr.com/,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
Bitso,https://bitso.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
币赢国际站,https://www.coinw.ai/,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
Tidex,https://tidex.com/,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
柯宾汉,https://www.cobinhood.com/,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
OkCoin国际,https://www.okcoin.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
IDEX,https://idex.market,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
YEX,https://yex.com/,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
ACX,https://acx.io/,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
Rfinex,https://www.rfinex.com/,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
Kuna,https://kuna.io,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
OTCBTC,https://otcbtc.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
KKEX,https://kkex.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
Bleutrade,https://bleutrade.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
Fisco,https://fcce.jp,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
COINNEST,http://www.coinnest.co.kr,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
EMEX,https://www.emex.cc/,A,0.8824,无上限,无上限,3.25 ETH,0.58 ETH
币夫,https://www.bitforex.com/,A,0.5882,无上限,无上限,2.7 ETH,0.53 ETH
币网,http://www.bw.com/,A,0.4706,无上限,无上限,2.51 ETH,0.51 ETH
GAEA,https://www.gmex.io,A,0.4118,无上限,无上限,2.42 ETH,0.5 ETH
IOAEX,http://www.ioaex.com,A,0.3529,无上限,无上限,2.33 ETH,0.49 ETH
58COIN,http://www.58coin.com/,A,0.2941,无上限,无上限,2.25 ETH,0.48 ETH
趣币网,https://www.qubi.top,A,0.1765,无上限,无上限,2.09 ETH,0.46 ETH
LBank,https://www.lbkex.com/,A,0.1176,无上限,无上限,2.01 ETH,0.45 ETH
澳洲U网,https://www.ucoin.pw,B,0.8947,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
COINBIG,https://www.coinbig.com/,B,0.8684,1.46 ETH,1.0 ETH,0.58 ETH,0.23 ETH
BitMart,https://www.bitmart.com/,B,0.8158,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
BitAsset,https://www.bitasset.com/,B,0.7105,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
BKEX,https://www.bkex.vip,B,0.6579,1.4 ETH,1.0 ETH,0.55 ETH,0.18 ETH
星客,https://www.silktraderdk.net,B,0.6053,1.38 ETH,1.0 ETH,0.54 ETH,0.17 ETH
币尔,https://www.coineal.com/,A,0.5294,无上限,无上限,2.61 ETH,0.52 ETH
VVBTC,http://www.vvbtc.com,B,0.5,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
VVEX,https://www.vvex.love/,B,0.5263,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
RightBTC,https://www.rightbtc.com,B,0.4211,1.33 ETH,1.0 ETH,0.5 ETH,0.13 ETH
澳交所,http://www.aoex.com,B,0.3947,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
6x交易站,https://www.6x.com,B,0.3684,1.32 ETH,1.0 ETH,0.49 ETH,0.11 ETH
