厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
火币全球站,https://www.huobi.co,A,0.9444,无上限,无上限,3.38 ETH,0.59 ETH
BitMEX,https://www.bitmex.com/,A,0.8889,无上限,无上限,3.26 ETH,0.58 ETH
OKEX,https://www.okex.com,A,0.8333,无上限,无上限,3.15 ETH,0.57 ETH
DigiFinex,https://www.digifinex.com,A,0.7778,无上限,无上限,3.05 ETH,0.56 ETH
HitBTC,https://hitbtc.com,A,0.5556,无上限,无上限,2.65 ETH,0.53 ETH
币安网,https://www.binance.com,A,0.5,无上限,无上限,2.56 ETH,0.52 ETH
Bibox,https://www.bibox.com/,A,0.4444,无上限,无上限,2.47 ETH,0.51 ETH
ZT.COM,https://www.zt.com/,A,0.1111,无上限,无上限,2.01 ETH,0.45 ETH
Bit-Z,https://www.bitz.com/,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
ZB网,https://www.zb.com,B,0.9211,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
CDAE,https://www.cdaevip.com,B,0.8947,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
BiKi,https://www.biki.com,B,0.8684,1.46 ETH,1.0 ETH,0.58 ETH,0.23 ETH
雷盾交易所,https://www.loex.io,B,0.8158,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
IDAX,https://www.idax.pro/,B,0.7632,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
CoinTiger,https://www.cointiger.one,B,0.7368,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
BCEX,https://www.bcex.hk,B,0.7105,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.6579,1.4 ETH,1.0 ETH,0.55 ETH,0.18 ETH
Bithumb,https://www.bithumb.com/,B,0.6053,1.38 ETH,1.0 ETH,0.54 ETH,0.17 ETH
BITKER,https://www.bitker.com/,B,0.5789,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
币赢国际站,https://www.coinw.ai/,B,0.5263,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
FUBT,https://www.fubt.com,B,0.3421,1.31 ETH,1.0 ETH,0.49 ETH,0.11 ETH
胖比特,https://www.fatbtc.com,B,0.4211,1.33 ETH,1.0 ETH,0.5 ETH,0.13 ETH
东方交易所,https://www.dfex.com/,B,0.2632,1.29 ETH,1.0 ETH,0.48 ETH,0.08 ETH
Upbit,https://upbit.com/home,B,0.2368,1.28 ETH,1.0 ETH,0.47 ETH,0.08 ETH
OCX,https://www.ocx.com/,B,0.1842,1.27 ETH,1.0 ETH,0.46 ETH,0.06 ETH
IDCM,https://www.idcm.cc/,B,0.1316,1.26 ETH,1.0 ETH,0.45 ETH,0.04 ETH
ZG.TOP,https://www.zg.top/,C,1.0,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
BIONE,https://www.bione.cc/,C,0.9881,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
Liquid,https://www.liquid.com/,C,0.9762,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
Bitfinex,https://www.bitfinex.com,C,0.9524,1.19 ETH,0.8 ETH,0.29 ETH,0.09 ETH
比太网,https://www.btex.com/,C,0.9405,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
CoinBene,https://www.coinbene.com/,B,0.1579,1.26 ETH,1.0 ETH,0.46 ETH,0.05 ETH
Coinbase Pro,https://pro.coinbase.com/,C,0.9048,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
AEX,https://www.aex.com/,C,0.8929,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
Hubi,https://www.hubi.com/,C,0.869,1.19 ETH,0.79 ETH,0.28 ETH,0.08 ETH
gate.io,https://gateio.news/,C,0.881,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
WR.NET,https://www.wr.net/,C,0.8095,1.18 ETH,0.78 ETH,0.26 ETH,0.08 ETH
Q网,https://www.myqbtc.com,C,0.7976,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
KKCoin,https://www.kkcoin.com,C,0.7738,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
炒客网,https://www.chaoex.info,C,0.7738,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
Allcoin,https://www.allcoinex.io,C,0.6786,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
K网,https://www.kraken.com,C,0.6667,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
融币,https://www.rongbiexchange.com,C,0.6548,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
Bitstamp,https://www.bitstamp.net,C,0.5952,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
ZZEX,https://www.zzex.pro,C,0.5714,1.15 ETH,0.76 ETH,0.21 ETH,0.04 ETH
Y网,https://y.ceo,C,0.5238,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
