厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,0.9756,无上限,无上限,3.45 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.9024,无上限,无上限,3.29 ETH,0.58 ETH
OKEX,https://www.okex.com,A,0.878,无上限,无上限,3.24 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.8293,无上限,无上限,3.15 ETH,0.57 ETH
ZB网,https://www.zb.com,A,0.8049,无上限,无上限,3.1 ETH,0.57 ETH
Bibox,https://www.bibox.com/,A,0.7805,无上限,无上限,3.05 ETH,0.57 ETH
火币全球站,https://www.huobi.co,A,0.7561,无上限,无上限,3.0 ETH,0.56 ETH
HitBTC,https://hitbtc.com,A,0.7073,无上限,无上限,2.91 ETH,0.55 ETH
DigiFinex,https://www.digifinex.com,A,0.6341,无上限,无上限,2.78 ETH,0.54 ETH
IDAX,https://www.idax.pro/,A,0.5366,无上限,无上限,2.62 ETH,0.52 ETH
Upbit,https://upbit.com/home,A,0.5122,无上限,无上限,2.58 ETH,0.52 ETH
币赢国际站,https://www.coinw.ai/,A,0.3902,无上限,无上限,2.39 ETH,0.5 ETH
Bit.cc,https://www.bit.cc/,A,0.3659,无上限,无上限,2.35 ETH,0.49 ETH
DragonEx,https://dragonex.im/,A,0.3171,无上限,无上限,2.28 ETH,0.49 ETH
Bitfinex,https://www.bitfinex.com,A,0.2439,无上限,无上限,2.18 ETH,0.47 ETH
BCEX,https://www.bcex.top,A,0.1951,无上限,无上限,2.11 ETH,0.46 ETH
CoinTiger,https://www.cointiger.pro,A,0.1463,无上限,无上限,2.05 ETH,0.45 ETH
ZG.TOP,https://www.zg.top/,A,0.122,无上限,无上限,2.02 ETH,0.45 ETH
BITKER,https://www.bitker.com/,A,0.0976,无上限,无上限,1.99 ETH,0.44 ETH
IDCM,https://www.idcm.cc/,A,0.0732,无上限,无上限,1.96 ETH,0.44 ETH
Allcoin,https://www.allcoinex.io,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
FCoin,https://www.fcoin.com/,B,0.9839,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
K网,https://www.kraken.com,B,0.9516,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Liquid,https://www.liquid.com/,B,0.9032,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
东方交易所,https://www.df.com/,B,0.8387,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
香港富比特,http://www.fubt.top/,B,0.8065,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
胖比特,https://www.fatbtc.com,B,0.7581,1.43 ETH,1.0 ETH,0.56 ETH,0.2 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.7581,1.43 ETH,1.0 ETH,0.56 ETH,0.2 ETH
ZZEX,https://www.zzex.pro,B,0.6774,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
Hubi,https://www.hubi.com/,B,0.6452,1.4 ETH,1.0 ETH,0.54 ETH,0.18 ETH
币万,https://www.bione.cc/,B,0.629,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
Y网,https://y.ceo,B,0.5968,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.5645,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
Q网,https://www.myqbtc.com,B,0.5323,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
炒客网,https://www.chaoex.io,B,0.5161,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
Bitstamp,https://www.bitstamp.net,B,0.4516,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
gate.io,https://gateio.news/,B,0.4194,1.33 ETH,1.0 ETH,0.5 ETH,0.13 ETH
AT交易所,https://www.at3.io/,B,0.4194,1.33 ETH,1.0 ETH,0.5 ETH,0.13 ETH
KKCoin,https://www.kkcoin.com,B,0.3548,1.32 ETH,1.0 ETH,0.49 ETH,0.11 ETH
满币网,https://www.coinbene.com/,B,0.371,1.32 ETH,1.0 ETH,0.5 ETH,0.11 ETH
B网,https://bittrex.com,B,0.2258,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
