厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,0.9756,无上限,无上限,3.45 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.9268,无上限,无上限,3.34 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.878,无上限,无上限,3.24 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.8293,无上限,无上限,3.15 ETH,0.57 ETH
ZB网,https://www.zb.com,A,0.7805,无上限,无上限,3.05 ETH,0.57 ETH
Bibox,https://www.bibox.com/,A,0.7561,无上限,无上限,3.0 ETH,0.56 ETH
DigiFinex,https://www.digifinex.com,A,0.7073,无上限,无上限,2.91 ETH,0.55 ETH
火币全球站,https://www.huobi.co,A,0.6829,无上限,无上限,2.87 ETH,0.55 ETH
HitBTC,https://hitbtc.com,A,0.6341,无上限,无上限,2.78 ETH,0.54 ETH
FCoin,https://www.fcoin.com/,A,0.4878,无上限,无上限,2.54 ETH,0.52 ETH
币赢国际站,https://www.coinw.ai/,A,0.4634,无上限,无上限,2.5 ETH,0.51 ETH
BCEX,https://www.bcex.top,A,0.439,无上限,无上限,2.46 ETH,0.51 ETH
Upbit,https://upbit.com/home,A,0.3659,无上限,无上限,2.35 ETH,0.49 ETH
Bit.cc,https://www.bit.cc/,A,0.3415,无上限,无上限,2.32 ETH,0.49 ETH
IDAX,https://www.idax.pro/,A,0.2927,无上限,无上限,2.25 ETH,0.48 ETH
Allcoin,https://www.allcoinex.io,A,0.2683,无上限,无上限,2.21 ETH,0.48 ETH
DragonEx,https://dragonex.im/,A,0.2195,无上限,无上限,2.15 ETH,0.47 ETH
BITKER,https://www.bitker.com/,A,0.1951,无上限,无上限,2.11 ETH,0.46 ETH
Bitfinex,https://www.bitfinex.com,A,0.0732,无上限,无上限,1.96 ETH,0.44 ETH
ZG.TOP,https://www.zg.top/,A,0.0488,无上限,无上限,1.93 ETH,0.43 ETH
东方交易所,https://www.dfex.com/,A,0.0244,无上限,无上限,1.9 ETH,0.43 ETH
Bikicoin,https://www.bikicoin.com,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
CoinTiger,https://www.cointiger.pro,B,0.9841,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
Liquid,https://www.liquid.com/,B,0.9524,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
IDCM,https://www.idcm.cc/,B,0.9365,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
胖比特,https://www.fatbtc.com,B,0.9206,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
炒客网,https://www.chaoex.info,B,0.9048,1.47 ETH,1.0 ETH,0.59 ETH,0.23 ETH
香港富比特,http://www.fubt.top/,B,0.8571,1.46 ETH,1.0 ETH,0.58 ETH,0.22 ETH
BIONE,https://www.bione.cc/,B,0.746,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
K网,https://www.kraken.com,B,0.6825,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.619,1.39 ETH,1.0 ETH,0.54 ETH,0.17 ETH
Q网,https://www.myqbtc.com,B,0.6032,1.38 ETH,1.0 ETH,0.54 ETH,0.17 ETH
AT交易所,https://www.at3.io/,B,0.5714,1.38 ETH,1.0 ETH,0.53 ETH,0.16 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.4603,1.34 ETH,1.0 ETH,0.51 ETH,0.14 ETH
ZZEX,https://www.zzex.pro,B,0.4127,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
Bitbank,https://bitbank.cc,B,0.3968,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
Bitstamp,https://www.bitstamp.net,B,0.3492,1.31 ETH,1.0 ETH,0.49 ETH,0.11 ETH
Hubi,https://www.hubi.com/,B,0.2857,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
Y网,https://y.ceo,B,0.2222,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
KKCoin,https://www.kkcoin.com,B,0.2063,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
B网,https://bittrex.com,B,0.1746,1.27 ETH,1.0 ETH,0.46 ETH,0.06 ETH
