厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
币安网,https://www.binance.com/,A,9,无上限,无上限,3.0 ETH,0.6 ETH
火币全球站,https://www.huobi.co,A,9,无上限,无上限,3.0 ETH,0.6 ETH
Coinbase Pro,https://pro.coinbase.com/,A,9,无上限,无上限,3.0 ETH,0.6 ETH
OKEX,https://www.okex.com,A,9,无上限,无上限,3.0 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,8,无上限,无上限,2.46 ETH,0.54 ETH
ZB网,https://www.zb.com,A,8,无上限,无上限,2.46 ETH,0.54 ETH
Bitfinex,https://www.bitfinex.com,A,8,无上限,无上限,2.46 ETH,0.54 ETH
B网,https://bittrex.com,A,8,无上限,无上限,2.46 ETH,0.54 ETH
bitFlyer,https://bitflyer.jp/,A,8,无上限,无上限,2.46 ETH,0.54 ETH
HitBTC,https://hitbtc.com,A,8,无上限,无上限,2.46 ETH,0.54 ETH
Bitstamp,https://www.bitstamp.net,A,8,无上限,无上限,2.46 ETH,0.54 ETH
K网,https://www.kraken.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Upbit,https://upbit.com/home,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
MXC,https://www.mxc.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Bit-Z,https://www.bitz.top/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
BiKi,https://www.biki.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Bibox,https://www.bibox.com/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
gate.io,https://gateio.news/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
IDAX,https://www.idax.pro/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
ZG.com,https://www.zg.com/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
P网,https://poloniex.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
KuCoin,https://www.kcs.top/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
Bithumb,https://www.bithumb.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
BITKER,https://www.bitker.biz/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
双子星,https://gemini.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
FUBT,https://www.fubt.com,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
BTB.io,https://www.btb.io/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
BigONE,https://big.one,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
CoinTiger,https://www.cointiger.one,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
DigiFinex,https://www.digifinex.com,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
Liquid,https://www.liquid.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
币赢国际站,https://www.coinw.ai/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
HCoin,https://www.hcoin.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
ZG.TOP,https://www.zg.top/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
ZT.COM,https://www.zt.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
BitMart,https://www.bitmart.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
Coinone,https://coinone.co.kr/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
FCoin,https://www.fcoin.com/,B,6,2.45 ETH,1.47 ETH,0.65 ETH,0.33 ETH
COINBIG,https://www.coinbig.org/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
BIONE,https://www.bione.cc/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
ZZEX,https://www.zzex.pro,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
雷盾交易所,https://www.loex.io,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
BKEX,https://www.bkex.vip,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
AEX,https://www.aex.plus/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
BCEX,https://www.bcex.hk,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
Bitget,https://www.bitget.cc/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
YoBit,https://yobit.net,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
BFX合约平台,https://www.bfx.nu,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
胖比特,https://www.fatbtc.com,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
BG交易所,http://www.bg.ink,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
OCX,https://www.ocx.app/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
Coincheck,https://coincheck.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
VVBTC,https://www.vvbtc.com,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
币网,http://www.bw.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
XT网,https://www.xt.com,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
Bitbank,https://bitbank.cc,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
Q网,https://www.qbtc.ink/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
GOKO,https://www.goko.com/,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
东方交易所,https://www.dfex.com/,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
Zaif,https://zaif.jp,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
龙网,https://dragonex.io/,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
IDCM,https://www.idcm.cc/,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
Hubi,https://www.hubi.com/,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
CEO交易所,https://ceohk.bi,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
Exmo,https://exmo.com/,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
星客,https://www.silktraderdk.,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
Livecoin,https://www.livecoin.net/,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
柯宾汉,https://www.cobinhood.com,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
Allcoin,https://www.allcoinex.io,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
BitBay,https://bitbay.net,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
EZB,https://www.ezb.com,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
比太网,https://www.btex.com/,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
CoinBene,https://www.coinbene.vip/,C,4,1.32 ETH,1.24 ETH,0.54 ETH,0.15 ETH
KKCoin,https://www.kkcoin.com,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
WR.NET,https://www.wr.net/,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
牛盾交易所,https://www.newtonxchange,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
AOFEX,https://aofex.com,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
比特国际交易平台,https://www.gj.com,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
币帝,https://www.bdw.top,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
BTCBOX,https://www.btcbox.co.jp/,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
融币,https://www.rongbiexchang,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
币钻,https://www.bzex.co,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
Luno,https://www.luno.com,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
STEX,https://www.stex.com,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
瓦特交易所,https://www.wbfex.com/,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
Bitso,https://bitso.com,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
HPX,https://www.hpx.ai/,C,3,1.25 ETH,1.27 ETH,0.49 ETH,0.15 ETH
