厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.9048,无上限,无上限,3.3 ETH,0.59 ETH
BitMEX,https://www.bitmex.com/,A,0.8571,无上限,无上限,3.2 ETH,0.58 ETH
Bit-Z,https://www.bitz.com/,A,0.8095,无上限,无上限,3.11 ETH,0.57 ETH
币赢国际站,https://www.coinw.ai/,A,0.7619,无上限,无上限,3.02 ETH,0.56 ETH
OKEX,https://www.okex.com,A,0.5714,无上限,无上限,2.68 ETH,0.53 ETH
火币全球站,https://www.huobi.co,A,0.5238,无上限,无上限,2.6 ETH,0.52 ETH
Bibox,https://www.bibox.com/,A,0.4286,无上限,无上限,2.45 ETH,0.51 ETH
Upbit,https://upbit.com/home,A,0.381,无上限,无上限,2.38 ETH,0.5 ETH
HitBTC,https://hitbtc.com,A,0.3333,无上限,无上限,2.31 ETH,0.49 ETH
ZB网,https://www.zb.com,A,0.1905,无上限,无上限,2.11 ETH,0.46 ETH
DigiFinex,https://www.digifinex.com,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
IDAX,https://www.idax.pro/,B,0.9535,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
CoinTiger,https://www.cointiger.one,B,0.8605,1.46 ETH,1.0 ETH,0.58 ETH,0.22 ETH
BCEX,https://www.bcex.hk,B,0.7907,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
雷盾交易所,https://www.loex.io,B,0.7442,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
BiKi,https://www.biki.com,B,0.7209,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.6512,1.4 ETH,1.0 ETH,0.54 ETH,0.18 ETH
WR.NET,https://www.wr.net/,B,0.6047,1.38 ETH,1.0 ETH,0.54 ETH,0.17 ETH
ZG.TOP,https://www.zg.top/,B,0.5349,1.37 ETH,1.0 ETH,0.52 ETH,0.15 ETH
东方交易所,https://www.dfex.com/,B,0.4884,1.35 ETH,1.0 ETH,0.52 ETH,0.14 ETH
IDCM,https://www.idcm.cc/,B,0.4651,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
DragonEx,https://dragonex.im/,B,0.4186,1.33 ETH,1.0 ETH,0.5 ETH,0.13 ETH
FUBT,https://www.fubt.com,B,0.3721,1.32 ETH,1.0 ETH,0.5 ETH,0.11 ETH
Allcoin,https://www.allcoinex.io,B,0.3023,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
胖比特,https://www.fatbtc.com,B,0.2558,1.29 ETH,1.0 ETH,0.47 ETH,0.08 ETH
AEX,https://www.aex.com/,B,0.186,1.27 ETH,1.0 ETH,0.46 ETH,0.06 ETH
炒客网,https://www.chaoex.info,B,0.1628,1.27 ETH,1.0 ETH,0.46 ETH,0.05 ETH
Liquid,https://www.liquid.com/,B,0.1163,1.25 ETH,1.0 ETH,0.45 ETH,0.04 ETH
Bitfinex,https://www.bitfinex.com,B,0.093,1.25 ETH,1.0 ETH,0.44 ETH,0.03 ETH
BITKER,https://www.bitker.com/,B,0.0698,1.24 ETH,1.0 ETH,0.44 ETH,0.02 ETH
BIONE,https://www.bione.cc/,B,0.0233,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
Q网,https://www.myqbtc.com,C,0.9612,1.2 ETH,0.8 ETH,0.29 ETH,0.1 ETH
B网,https://bittrex.com,C,0.938,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
Coinbase Pro,https://pro.coinbase.com/,C,0.9225,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
K网,https://www.kraken.com,C,0.8915,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
ZZEX,https://www.zzex.pro,C,0.8682,1.19 ETH,0.79 ETH,0.28 ETH,0.08 ETH
FCoin,https://www.fcoin.com/,C,0.8605,1.18 ETH,0.79 ETH,0.27 ETH,0.08 ETH
gate.io,https://gateio.news/,C,0.8295,1.18 ETH,0.78 ETH,0.27 ETH,0.08 ETH
KKCoin,https://www.kkcoin.com,C,0.8062,1.18 ETH,0.78 ETH,0.26 ETH,0.08 ETH
Hubi,https://www.hubi.com/,C,0.7984,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
Bitstamp,https://www.bitstamp.net,C,0.7907,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
CoinBene,https://www.coinbene.com/,C,0.9922,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
Y网,https://y.ceo,C,0.7674,1.17 ETH,0.78 ETH,0.25 ETH,0.07 ETH
BigOne,https://big.one,C,0.6512,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
YoBit,https://yobit.net,C,0.6357,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
P网,https://poloniex.com,C,0.6124,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
Exmo,https://exmo.com/,C,0.6047,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
