厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,0.9762,无上限,无上限,3.45 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,0.9524,无上限,无上限,3.4 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.9286,无上限,无上限,3.35 ETH,0.59 ETH
币安网,https://www.binance.com,A,0.8571,无上限,无上限,3.2 ETH,0.58 ETH
币赢国际站,https://www.coinw.ai/,A,0.8095,无上限,无上限,3.11 ETH,0.57 ETH
HitBTC,https://hitbtc.com,A,0.7619,无上限,无上限,3.02 ETH,0.56 ETH
火币全球站,https://www.huobi.co,A,0.7381,无上限,无上限,2.97 ETH,0.56 ETH
Bit-Z,https://www.bit-z.pro/,A,0.6667,无上限,无上限,2.84 ETH,0.55 ETH
Bibox,https://www.bibox.com/,A,0.6429,无上限,无上限,2.8 ETH,0.54 ETH
ZB网,https://www.zb.com,A,0.619,无上限,无上限,2.76 ETH,0.54 ETH
DigiFinex,https://www.digifinex.com,A,0.5714,无上限,无上限,2.68 ETH,0.53 ETH
IDAX,https://www.idax.pro/,A,0.5238,无上限,无上限,2.6 ETH,0.52 ETH
BCEX,https://www.bcex.hk,A,0.4762,无上限,无上限,2.52 ETH,0.51 ETH
CoinTiger,https://www.cointiger.one,A,0.4286,无上限,无上限,2.45 ETH,0.51 ETH
FCoin,https://www.fcoin.com/,A,0.3571,无上限,无上限,2.34 ETH,0.49 ETH
Bitfinex,https://www.bitfinex.com,A,0.3333,无上限,无上限,2.31 ETH,0.49 ETH
DragonEx,https://dragonex.im/,A,0.2857,无上限,无上限,2.24 ETH,0.48 ETH
炒客网,https://www.chaoex.info,A,0.2619,无上限,无上限,2.2 ETH,0.48 ETH
雷盾交易所,https://www.loex.io,A,0.1429,无上限,无上限,2.05 ETH,0.45 ETH
东方交易所,https://www.dfex.com/,A,0.0952,无上限,无上限,1.99 ETH,0.44 ETH
AEX,https://www.aex.com/,A,0.0476,无上限,无上限,1.93 ETH,0.43 ETH
Allcoin,https://www.allcoinex.io,A,0.0238,无上限,无上限,1.9 ETH,0.43 ETH
ZG.TOP,https://www.zg.top/,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
Liquid,https://www.liquid.com/,B,0.9841,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
WR.NET,https://www.wr.net/,B,0.9683,1.49 ETH,1.0 ETH,0.6 ETH,0.24 ETH
IDCM,https://www.idcm.cc/,B,0.9048,1.47 ETH,1.0 ETH,0.59 ETH,0.23 ETH
Bikicoin,https://www.bikicoin.com,B,0.8571,1.46 ETH,1.0 ETH,0.58 ETH,0.22 ETH
Upbit,https://upbit.com/home,B,0.8413,1.45 ETH,1.0 ETH,0.58 ETH,0.22 ETH
香港富比特,http://www.fubt.top/,B,0.7937,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
胖比特,https://www.fatbtc.com,B,0.7778,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
BITKER,https://www.bitker.com/,B,0.7619,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
BIONE,https://www.bione.cc/,B,0.746,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
KKCoin,https://www.kkcoin.com,B,0.5714,1.38 ETH,1.0 ETH,0.53 ETH,0.16 ETH
K网,https://www.kraken.com,B,0.5556,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.5238,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
Q网,https://www.myqbtc.com,B,0.5079,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.4603,1.34 ETH,1.0 ETH,0.51 ETH,0.14 ETH
Bitstamp,https://www.bitstamp.net,B,0.4127,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
Hubi,https://www.hubi.com/,B,0.3333,1.31 ETH,1.0 ETH,0.49 ETH,0.1 ETH
ZZEX,https://www.zzex.pro,B,0.3016,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
gate.io,https://gateio.news/,B,0.2857,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
Y网,https://y.ceo,B,0.2222,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
满币网,https://www.coinbene.com/,B,0.4762,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
B网,https://bittrex.com,B,0.1746,1.27 ETH,1.0 ETH,0.46 ETH,0.06 ETH
Exmo,https://exmo.com/,B,0.0317,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
YoBit,https://yobit.net,B,0.0159,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
酷币,https://www.coolcoin.com,C,0.8333,1.18 ETH,0.78 ETH,0.27 ETH,0.08 ETH
HPX,https://www.hpx.com/,C,0.9643,1.2 ETH,0.8 ETH,0.29 ETH,0.1 ETH
bitFlyer,https://bitflyer.jp/,C,0.9524,1.19 ETH,0.8 ETH,0.29 ETH,0.09 ETH
Bitbank,https://bitbank.cc,C,0.9286,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
双子星,https://gemini.com/,C,0.881,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
FEX,https://fexpro.net/,C,0.8571,1.18 ETH,0.79 ETH,0.27 ETH,0.08 ETH
STEX,https://www.stex.com,C,0.8452,1.18 ETH,0.79 ETH,0.27 ETH,0.08 ETH
BTCBOX,https://www.btcbox.co.jp/,C,0.8214,1.18 ETH,0.78 ETH,0.27 ETH,0.08 ETH
Livecoin,https://www.livecoin.net/,C,0.8095,1.18 ETH,0.78 ETH,0.26 ETH,0.08 ETH
P网,https://poloniex.com,C,0.7738,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
Zaif,https://zaif.jp,C,0.7619,1.17 ETH,0.78 ETH,0.25 ETH,0.07 ETH
Coinone,https://coinone.co.kr/,C,0.7381,1.17 ETH,0.78 ETH,0.25 ETH,0.06 ETH
BigOne,https://big.one,C,0.7024,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
Coincheck,https://coincheck.com/,C,0.6905,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
BitBay,https://bitbay.net,C,0.5595,1.15 ETH,0.76 ETH,0.21 ETH,0.03 ETH
KuCoin,https://www.kucoin.com,C,0.5476,1.15 ETH,0.76 ETH,0.21 ETH,0.03 ETH
itBit,https://www.itbit.com,C,0.5238,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
CEO交易所,https://ceo.bi,C,0.4762,1.14 ETH,0.75 ETH,0.19 ETH,0.02 ETH
Rfinex,https://www.rfinex.com/,C,0.4405,1.14 ETH,0.75 ETH,0.18 ETH,0.01 ETH
OkCoin韩国站,https://www.okcoinkr.com/,C,0.4167,1.14 ETH,0.75 ETH,0.17 ETH,0.01 ETH
Luno,https://www.luno.com,C,0.3095,1.13 ETH,0.74 ETH,0.15 ETH,0.01 ETH
Tidex,https://tidex.com/,C,0.2857,1.12 ETH,0.73 ETH,0.14 ETH,0.01 ETH
柯宾汉,https://www.cobinhood.com/,C,0.2381,1.12 ETH,0.73 ETH,0.13 ETH,0.01 ETH
DSX,https://dsx.uk,C,0.2262,1.12 ETH,0.73 ETH,0.12 ETH,0.01 ETH
ACX,https://acx.io/,C,0.1905,1.11 ETH,0.72 ETH,0.11 ETH,0.01 ETH
OkCoin国际,https://www.okcoin.com,C,0.1786,1.11 ETH,0.72 ETH,0.11 ETH,0.01 ETH
Bitso,https://bitso.com,C,0.1429,1.11 ETH,0.72 ETH,0.1 ETH,0.01 ETH
IDEX,https://idex.market,C,0.131,1.11 ETH,0.72 ETH,0.09 ETH,0.01 ETH
CREX24,https://crex24.com/zh/,C,0.0833,1.1 ETH,0.71 ETH,0.08 ETH,0.01 ETH
Kuna,https://kuna.io,C,0.0238,1.1 ETH,0.71 ETH,0.06 ETH,0.01 ETH
YEX,http://yex.com/,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
OTCBTC,https://otcbtc.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
KKEX,https://kkex.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
Fisco,https://fcce.jp,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
COINNEST,http://www.coinnest.co.kr,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
