厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Coinsuper,https://www.coinsuper.com/,A,0.0702,无上限,无上限,1.95 ETH,0.44 ETH
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
币龙网,https://www.bitalong.com/,B,0.8736,1.46 ETH,1.0 ETH,0.58 ETH,0.23 ETH
Bithumb,https://www.bithumb.com/,A,0.9825,无上限,无上限,3.46 ETH,0.6 ETH
6x交易站,https://www.6x.com,B,0.8506,1.46 ETH,1.0 ETH,0.58 ETH,0.22 ETH
OKEX,https://www.okex.com,A,0.9474,无上限,无上限,3.39 ETH,0.59 ETH
COIN918,http://www.coin918.cc/,B,0.8276,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
火币全球站,https://www.huobi.co,A,0.9298,无上限,无上限,3.35 ETH,0.59 ETH
Ethfinex,https://www.ethfinex.com/,B,0.7816,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
B2BX,https://www.b2bx.exchange/,B,0.7471,1.43 ETH,1.0 ETH,0.56 ETH,0.2 ETH
币安网,https://www.binance.com,A,0.9123,无上限,无上限,3.31 ETH,0.59 ETH
Bit-Z,https://www.bit-z.pro/,A,0.8947,无上限,无上限,3.28 ETH,0.58 ETH
UEX,http://www.uex.com/,B,0.7241,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
ZB网,https://www.zb.com,A,0.8772,无上限,无上限,3.24 ETH,0.58 ETH
天天国际,http://www.ttex.pro/,B,0.6552,1.4 ETH,1.0 ETH,0.54 ETH,0.18 ETH
HitBTC,https://hitbtc.com,A,0.8596,无上限,无上限,3.21 ETH,0.58 ETH
Bibox,https://www.bibox.com/,A,0.7895,无上限,无上限,3.07 ETH,0.57 ETH
怪兽市场,https://www.monster.one,B,0.5977,1.38 ETH,1.0 ETH,0.54 ETH,0.17 ETH
Bitfinex,https://www.bitfinex.com,A,0.7368,无上限,无上限,2.97 ETH,0.56 ETH
T网,https://www.tokencan.com,B,0.6207,1.39 ETH,1.0 ETH,0.54 ETH,0.17 ETH
币赢国际站,https://www.coinw.me,A,0.7193,无上限,无上限,2.94 ETH,0.56 ETH
BitAsset,https://www.bitasset.com/,B,0.5632,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
DigiFinex,https://www.digifinex.com,A,0.6667,无上限,无上限,2.84 ETH,0.55 ETH
Bit.cc,https://www.bit.cc/,A,0.6491,无上限,无上限,2.81 ETH,0.54 ETH
BCEX,https://www.bcex.top,A,0.614,无上限,无上限,2.75 ETH,0.54 ETH
FCoin,https://www.fcoin.com/,A,0.5614,无上限,无上限,2.66 ETH,0.53 ETH
Upbit,https://upbit.com/home,A,0.5263,无上限,无上限,2.6 ETH,0.52 ETH
Hubi,https://www.hubi.com/,B,0.5287,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
DragonEx,https://dragonex.im/,A,0.4386,无上限,无上限,2.46 ETH,0.51 ETH
汇币网,https://hb.top,A,0.4211,无上限,无上限,2.44 ETH,0.5 ETH
IDAX,https://www.idax.mn,A,0.3684,无上限,无上限,2.36 ETH,0.49 ETH
K网,https://www.kraken.com,A,0.3509,无上限,无上限,2.33 ETH,0.49 ETH
ZG.TOP,https://www.zg.top/,A,0.3333,无上限,无上限,2.31 ETH,0.49 ETH
Hotbit,https://www.hotbit.io/,B,0.5057,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
Liquid,https://www.liquid.com/,A,0.3158,无上限,无上限,2.28 ETH,0.49 ETH
TOKOK,https://www.tokok.com/,B,0.4828,1.35 ETH,1.0 ETH,0.52 ETH,0.14 ETH
COIEX,https://coiex.io/,B,0.4598,1.34 ETH,1.0 ETH,0.51 ETH,0.14 ETH
CoinX,https://coinx.im,B,0.4598,1.34 ETH,1.0 ETH,0.51 ETH,0.14 ETH
GAEX,https://www.gaex.com/,B,0.3793,1.32 ETH,1.0 ETH,0.5 ETH,0.12 ETH
币扬,http://www.bityoung.com/,B,0.3678,1.32 ETH,1.0 ETH,0.49 ETH,0.11 ETH
