厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,0.9048,无上限,无上限,3.3 ETH,0.59 ETH
火币全球站,https://www.huobi.co,A,0.8571,无上限,无上限,3.2 ETH,0.58 ETH
OKEX,https://www.okex.com,A,0.8095,无上限,无上限,3.11 ETH,0.57 ETH
BitMEX,https://www.bitmex.com/,A,0.7143,无上限,无上限,2.93 ETH,0.55 ETH
FCoin,https://www.fcoin.com/,A,0.5714,无上限,无上限,2.68 ETH,0.53 ETH
币安网,https://www.binance.com,A,0.4762,无上限,无上限,2.52 ETH,0.51 ETH
Bit-Z,https://www.bitz.com/,A,0.4286,无上限,无上限,2.45 ETH,0.51 ETH
Bibox,https://www.bibox.com/,A,0.2857,无上限,无上限,2.24 ETH,0.48 ETH
ZB网,https://www.zb.com,A,0.2381,无上限,无上限,2.17 ETH,0.47 ETH
HitBTC,https://hitbtc.com,A,0.1905,无上限,无上限,2.11 ETH,0.46 ETH
币赢国际站,https://www.coinw.ai/,A,0.1429,无上限,无上限,2.05 ETH,0.45 ETH
DigiFinex,https://www.digifinex.com,B,0.9767,1.49 ETH,1.0 ETH,0.6 ETH,0.25 ETH
IDAX,https://www.idax.pro/,B,0.8837,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
BiKi,https://www.biki.com,B,0.907,1.47 ETH,1.0 ETH,0.59 ETH,0.23 ETH
Upbit,https://upbit.com/home,B,0.8372,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
雷盾交易所,https://www.loex.io,B,0.814,1.44 ETH,1.0 ETH,0.57 ETH,0.22 ETH
胖比特,https://www.fatbtc.com,B,0.7907,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
CoinTiger,https://www.cointiger.one,B,0.7442,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
BCEX,https://www.bcex.hk,B,0.7209,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.6977,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
