厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
Bithumb,https://www.bithumb.com/,A,0.95,无上限,无上限,3.39 ETH,0.59 ETH
币安网,https://www.binance.com,A,0.925,无上限,无上限,3.34 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.9,无上限,无上限,3.29 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.875,无上限,无上限,3.24 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.8,无上限,无上限,3.09 ETH,0.57 ETH
DigiFinex,https://www.digifinex.com,A,0.75,无上限,无上限,2.99 ETH,0.56 ETH
Bibox,https://www.bibox.com/,A,0.7,无上限,无上限,2.9 ETH,0.55 ETH
Bitfinex,https://www.bitfinex.com,A,0.65,无上限,无上限,2.81 ETH,0.54 ETH
HitBTC,https://hitbtc.com,A,0.625,无上限,无上限,2.77 ETH,0.54 ETH
BITKER,https://www.bitker.com/,A,0.55,无上限,无上限,2.64 ETH,0.53 ETH
Upbit,https://upbit.com/home,A,0.525,无上限,无上限,2.6 ETH,0.52 ETH
ZB网,https://www.zb.com,A,0.5,无上限,无上限,2.56 ETH,0.52 ETH
FCoin,https://www.fcoin.com/,A,0.475,无上限,无上限,2.52 ETH,0.51 ETH
IDAX,https://www.idax.pro/,A,0.4,无上限,无上限,2.4 ETH,0.5 ETH
CoinTiger,https://www.cointiger.pro,A,0.375,无上限,无上限,2.37 ETH,0.5 ETH
币赢国际站,https://www.coinw.ai/,A,0.35,无上限,无上限,2.33 ETH,0.49 ETH
Liquid,https://www.liquid.com/,A,0.325,无上限,无上限,2.29 ETH,0.49 ETH
Coinbase Pro,https://pro.coinbase.com/,A,0.225,无上限,无上限,2.15 ETH,0.47 ETH
BCEX,https://www.bcex.top,A,0.175,无上限,无上限,2.09 ETH,0.46 ETH
Bit.cc,https://www.bit.cc/,A,0.125,无上限,无上限,2.02 ETH,0.45 ETH
Allcoin,https://www.allcoinex.io,A,0.1,无上限,无上限,1.99 ETH,0.44 ETH
DragonEx,https://dragonex.im/,A,0.075,无上限,无上限,1.96 ETH,0.44 ETH
K网,https://www.kraken.com,A,0.05,无上限,无上限,1.93 ETH,0.44 ETH
KKCoin,https://www.kkcoin.com,A,0.025,无上限,无上限,1.9 ETH,0.43 ETH
炒客网,https://www.chaoex.info,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
胖比特,https://www.fatbtc.com,B,0.9508,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Bikicoin,https://www.bikicoin.com,B,0.9016,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
ZG.TOP,https://www.zg.top/,B,0.8197,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
东方交易所,https://www.dfex.com/,B,0.8033,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
IDCM,https://www.idcm.cc/,B,0.7869,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
Bitstamp,https://www.bitstamp.net,B,0.7377,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
AT交易所,https://www.at3.io/,B,0.6393,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
BIONE,https://www.bione.cc/,B,0.623,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
香港富比特,http://www.fubt.top/,B,0.5738,1.38 ETH,1.0 ETH,0.53 ETH,0.16 ETH
Hubi,https://www.hubi.com/,B,0.4754,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.4426,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
Q网,https://www.myqbtc.com,B,0.3934,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
gate.io,https://gateio.news/,B,0.3115,1.3 ETH,1.0 ETH,0.48 ETH,0.1 ETH
B网,https://bittrex.com,B,0.2951,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
ZZEX,https://www.zzex.pro,B,0.2787,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
Bitbank,https://bitbank.cc,B,0.1967,1.27 ETH,1.0 ETH,0.46 ETH,0.06 ETH
