厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,0.975,无上限,无上限,3.45 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.95,无上限,无上限,3.39 ETH,0.59 ETH
BitMEX,https://www.bitmex.com/,A,0.925,无上限,无上限,3.34 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.9,无上限,无上限,3.29 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.875,无上限,无上限,3.24 ETH,0.58 ETH
HitBTC,https://hitbtc.com,A,0.85,无上限,无上限,3.19 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.825,无上限,无上限,3.14 ETH,0.57 ETH
Bibox,https://www.bibox.com/,A,0.775,无上限,无上限,3.04 ETH,0.56 ETH
DigiFinex,https://www.digifinex.com,A,0.725,无上限,无上限,2.95 ETH,0.56 ETH
ZB网,https://www.zb.com,A,0.575,无上限,无上限,2.68 ETH,0.53 ETH
FCoin,https://www.fcoin.com/,A,0.525,无上限,无上限,2.6 ETH,0.52 ETH
IDAX,https://www.idax.pro/,A,0.5,无上限,无上限,2.56 ETH,0.52 ETH
币赢国际站,https://www.coinw.ai/,A,0.475,无上限,无上限,2.52 ETH,0.51 ETH
BITKER,https://www.bitker.com/,A,0.425,无上限,无上限,2.44 ETH,0.51 ETH
Upbit,https://upbit.com/home,A,0.375,无上限,无上限,2.37 ETH,0.5 ETH
炒客网,https://www.chaoex.info,A,0.35,无上限,无上限,2.33 ETH,0.49 ETH
Allcoin,https://www.allcoinex.io,A,0.325,无上限,无上限,2.29 ETH,0.49 ETH
CoinTiger,https://www.cointiger.pro,A,0.3,无上限,无上限,2.26 ETH,0.48 ETH
DragonEx,https://dragonex.im/,A,0.275,无上限,无上限,2.22 ETH,0.48 ETH
Bit.cc,https://www.bit.cc/,A,0.25,无上限,无上限,2.19 ETH,0.47 ETH
BCEX,https://www.bcex.top,A,0.225,无上限,无上限,2.15 ETH,0.47 ETH
胖比特,https://www.fatbtc.com,A,0.1,无上限,无上限,1.99 ETH,0.44 ETH
Bikicoin,https://www.bikicoin.com,B,0.9836,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
ZG.TOP,https://www.zg.top/,B,0.9508,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
东方交易所,https://www.dfex.com/,B,0.9344,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Bitfinex,https://www.bitfinex.com,B,0.9016,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
IDCM,https://www.idcm.cc/,B,0.8852,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
KKCoin,https://www.kkcoin.com,B,0.8361,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
Q网,https://www.myqbtc.com,B,0.7541,1.43 ETH,1.0 ETH,0.56 ETH,0.2 ETH
