厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,0.95,无上限,无上限,3.39 ETH,0.59 ETH
Bithumb,https://www.bithumb.com/,A,0.9,无上限,无上限,3.29 ETH,0.58 ETH
OKEX,https://www.okex.com,A,0.85,无上限,无上限,3.19 ETH,0.58 ETH
币安网,https://www.binance.com,A,0.8,无上限,无上限,3.09 ETH,0.57 ETH
Bit-Z,https://www.bit-z.pro/,A,0.65,无上限,无上限,2.81 ETH,0.54 ETH
ZB网,https://www.zb.com,A,0.5,无上限,无上限,2.56 ETH,0.52 ETH
火币全球站,https://www.huobi.co,A,0.45,无上限,无上限,2.48 ETH,0.51 ETH
Bibox,https://www.bibox.com/,A,0.4,无上限,无上限,2.4 ETH,0.5 ETH
HitBTC,https://hitbtc.com,A,0.3,无上限,无上限,2.26 ETH,0.48 ETH
DigiFinex,https://www.digifinex.com,A,0.2,无上限,无上限,2.12 ETH,0.46 ETH
币赢国际站,https://www.coinw.ai/,A,0.1,无上限,无上限,1.99 ETH,0.44 ETH
IDAX,https://www.idax.pro/,A,0.05,无上限,无上限,1.93 ETH,0.44 ETH
IDCM,https://www.idcm.cc/,B,0.9286,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
BiKi,https://www.biki.com,B,0.8571,1.46 ETH,1.0 ETH,0.58 ETH,0.22 ETH
FUBT,https://www.fubt.com,B,0.7857,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
CoinTiger,https://www.cointiger.one,B,0.7381,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
雷盾交易所,https://www.loex.io,B,0.7143,1.42 ETH,1.0 ETH,0.55 ETH,0.2 ETH
BCEX,https://www.bcex.hk,B,0.6429,1.4 ETH,1.0 ETH,0.54 ETH,0.18 ETH
DragonEx,https://dragonex.im/,B,0.619,1.39 ETH,1.0 ETH,0.54 ETH,0.17 ETH
东方交易所,https://www.dfex.com/,B,0.5476,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
炒客网,https://www.chaoex.info,B,0.5,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.4762,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
