厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,0.9512,无上限,无上限,3.39 ETH,0.59 ETH
币安网,https://www.binance.com,A,0.9268,无上限,无上限,3.34 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.9024,无上限,无上限,3.29 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.878,无上限,无上限,3.24 ETH,0.58 ETH
HitBTC,https://hitbtc.com,A,0.8049,无上限,无上限,3.1 ETH,0.57 ETH
Bibox,https://www.bibox.com/,A,0.7805,无上限,无上限,3.05 ETH,0.57 ETH
ZB网,https://www.zb.com,A,0.7561,无上限,无上限,3.0 ETH,0.56 ETH
火币全球站,https://www.huobi.co,A,0.7317,无上限,无上限,2.96 ETH,0.56 ETH
币赢国际站,https://www.coinw.ai/,A,0.561,无上限,无上限,2.66 ETH,0.53 ETH
DigiFinex,https://www.digifinex.com,A,0.4878,无上限,无上限,2.54 ETH,0.52 ETH
Bit.cc,https://www.bit.cc/,A,0.439,无上限,无上限,2.46 ETH,0.51 ETH
IDAX,https://www.idax.pro/,A,0.3902,无上限,无上限,2.39 ETH,0.5 ETH
BCEX,https://www.bcex.top,A,0.3659,无上限,无上限,2.35 ETH,0.49 ETH
DragonEx,https://dragonex.im/,A,0.3171,无上限,无上限,2.28 ETH,0.49 ETH
BITKER,https://www.bitker.com/,A,0.2439,无上限,无上限,2.18 ETH,0.47 ETH
炒客网,https://www.chaoex.info,A,0.2195,无上限,无上限,2.15 ETH,0.47 ETH
CoinTiger,https://www.cointiger.pro,A,0.1463,无上限,无上限,2.05 ETH,0.45 ETH
Allcoin,https://www.allcoinex.io,A,0.122,无上限,无上限,2.02 ETH,0.45 ETH
ZG.TOP,https://www.zg.top/,A,0.0244,无上限,无上限,1.9 ETH,0.43 ETH
Upbit,https://upbit.com/home,B,0.9841,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
FCoin,https://www.fcoin.com/,B,0.9206,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Bitfinex,https://www.bitfinex.com,B,0.8413,1.45 ETH,1.0 ETH,0.58 ETH,0.22 ETH
Q网,https://www.myqbtc.com,B,0.8254,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
东方交易所,https://www.dfex.com/,B,0.8254,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
Liquid,https://www.liquid.com/,B,0.746,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
香港富比特,http://www.fubt.top/,B,0.7302,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
胖比特,https://www.fatbtc.com,B,0.6667,1.4 ETH,1.0 ETH,0.55 ETH,0.19 ETH
Y网,https://y.ceo,B,0.6349,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
K网,https://www.kraken.com,B,0.619,1.39 ETH,1.0 ETH,0.54 ETH,0.17 ETH
ZZEX,https://www.zzex.pro,B,0.6032,1.38 ETH,1.0 ETH,0.54 ETH,0.17 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.5873,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
AT交易所,https://www.at3.io/,B,0.4444,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
Bitstamp,https://www.bitstamp.net,B,0.3651,1.32 ETH,1.0 ETH,0.49 ETH,0.11 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.3175,1.31 ETH,1.0 ETH,0.49 ETH,0.1 ETH
满币网,https://www.coinbene.com/,B,0.3968,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
FEX,https://fexpro.net/,B,0.2698,1.29 ETH,1.0 ETH,0.48 ETH,0.09 ETH
Hubi,https://www.hubi.com/,B,0.2063,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
KKCoin,https://www.kkcoin.com,B,0.254,1.29 ETH,1.0 ETH,0.47 ETH,0.08 ETH
IDCM,https://www.idcm.cc/,B,0.2222,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
B网,https://bittrex.com,B,0.2063,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
Exmo,https://exmo.com/,B,0.0794,1.24 ETH,1.0 ETH,0.44 ETH,0.03 ETH
gate.io,https://gateio.news/,B,0.0317,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
bitFlyer,https://bitflyer.jp/,B,0.0159,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
BTCBOX,https://www.btcbox.co.jp/,C,0.9383,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
HPX,https://www.hpx.com/,C,0.9259,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
YoBit,https://yobit.net,C,0.9136,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
双子星,https://gemini.com/,C,0.8765,1.19 ETH,0.79 ETH,0.28 ETH,0.08 ETH
酷币,https://www.coolcoin.com,C,0.8395,1.18 ETH,0.79 ETH,0.27 ETH,0.08 ETH
P网,https://poloniex.com,C,0.8272,1.18 ETH,0.78 ETH,0.27 ETH,0.08 ETH
Bitbank,https://bitbank.cc,C,0.7901,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
Livecoin,https://www.livecoin.net/,C,0.7778,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
Tidex,https://tidex.com/,C,0.716,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
BIONE,https://www.bione.cc/,C,0.6914,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
Coincheck,https://coincheck.com/,C,0.642,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
KuCoin,https://www.kucoin.com,C,0.6173,1.16 ETH,0.77 ETH,0.22 ETH,0.04 ETH
Coinone,https://coinone.co.kr/,C,0.5802,1.15 ETH,0.76 ETH,0.21 ETH,0.04 ETH
BitBay,https://bitbay.net,C,0.5679,1.15 ETH,0.76 ETH,0.21 ETH,0.04 ETH
Luno,https://www.luno.com,C,0.5432,1.15 ETH,0.76 ETH,0.21 ETH,0.03 ETH
OkCoin韩国站,https://www.okcoinkr.com/,C,0.5309,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
itBit,https://www.itbit.com,C,0.5185,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
Rfinex,https://www.rfinex.com/,C,0.4815,1.14 ETH,0.75 ETH,0.19 ETH,0.02 ETH
STEX,https://www.stex.com,C,0.4691,1.14 ETH,0.75 ETH,0.19 ETH,0.02 ETH
Zaif,https://zaif.jp,C,0.4321,1.14 ETH,0.75 ETH,0.18 ETH,0.01 ETH
DSX,https://dsx.uk,C,0.3457,1.13 ETH,0.74 ETH,0.16 ETH,0.01 ETH
柯宾汉,https://www.cobinhood.com/,C,0.2716,1.12 ETH,0.73 ETH,0.13 ETH,0.01 ETH
ACX,https://acx.io/,C,0.2222,1.12 ETH,0.73 ETH,0.12 ETH,0.01 ETH
Bitso,https://bitso.com,C,0.2099,1.12 ETH,0.73 ETH,0.12 ETH,0.01 ETH
CREX24,https://crex24.com/zh/,C,0.1975,1.12 ETH,0.73 ETH,0.11 ETH,0.01 ETH
CEO交易所,https://ceo.bi,C,0.1852,1.11 ETH,0.72 ETH,0.11 ETH,0.01 ETH
IDEX,https://idex.market,C,0.1235,1.11 ETH,0.72 ETH,0.09 ETH,0.01 ETH
BigOne,https://big.one,C,0.0864,1.1 ETH,0.71 ETH,0.08 ETH,0.01 ETH
YEX,http://yex.com/,C,0.0741,1.1 ETH,0.71 ETH,0.08 ETH,0.01 ETH
OkCoin国际,https://www.okcoin.com,C,0.0617,1.1 ETH,0.71 ETH,0.07 ETH,0.01 ETH
李逵,https://liqui.io/,C,0.0247,1.1 ETH,0.71 ETH,0.06 ETH,0.01 ETH
Kuna,https://kuna.io,C,0.0123,1.1 ETH,0.71 ETH,0.06 ETH,0.01 ETH
Bleutrade,https://bleutrade.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
