厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,0.975,无上限,无上限,3.45 ETH,0.6 ETH
OKEX,https://www.okex.com,A,0.9,无上限,无上限,3.29 ETH,0.58 ETH
币安网,https://www.binance.com,A,0.875,无上限,无上限,3.24 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.85,无上限,无上限,3.19 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.775,无上限,无上限,3.04 ETH,0.56 ETH
DigiFinex,https://www.digifinex.com,A,0.725,无上限,无上限,2.95 ETH,0.56 ETH
Bibox,https://www.bibox.com/,A,0.7,无上限,无上限,2.9 ETH,0.55 ETH
HitBTC,https://hitbtc.com,A,0.675,无上限,无上限,2.86 ETH,0.55 ETH
币赢国际站,https://www.coinw.ai/,A,0.65,无上限,无上限,2.81 ETH,0.54 ETH
Upbit,https://upbit.com/home,A,0.625,无上限,无上限,2.77 ETH,0.54 ETH
ZB网,https://www.zb.com,A,0.55,无上限,无上限,2.64 ETH,0.53 ETH
Bitfinex,https://www.bitfinex.com,A,0.525,无上限,无上限,2.6 ETH,0.52 ETH
IDAX,https://www.idax.pro/,A,0.45,无上限,无上限,2.48 ETH,0.51 ETH
汇币网,https://hb.top,A,0.25,无上限,无上限,2.19 ETH,0.47 ETH
FCoin,https://www.fcoin.com/,A,0.225,无上限,无上限,2.15 ETH,0.47 ETH
Bit.cc,https://www.bit.cc/,A,0.175,无上限,无上限,2.09 ETH,0.46 ETH
DragonEx,https://dragonex.im/,A,0.125,无上限,无上限,2.02 ETH,0.45 ETH
IDCM,https://www.idcm.io/,A,0.05,无上限,无上限,1.93 ETH,0.44 ETH
CoinTiger,https://www.cointiger.pro,A,0.025,无上限,无上限,1.9 ETH,0.43 ETH
ZG.TOP,https://www.zg.top/,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
K网,https://www.kraken.com,B,0.9836,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
Bitbank,https://bitbank.cc,B,0.9672,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.9344,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
香港富比特,http://www.fubt.top/,B,0.9016,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
币客,https://www.bitker.com/,B,0.8525,1.46 ETH,1.0 ETH,0.58 ETH,0.22 ETH
Liquid,https://www.liquid.com/,B,0.8361,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
BCEX,https://www.bcex.top,B,0.8197,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
东方交易所,https://www.df.com/,B,0.8033,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
Allcoin,https://www.allcoinex.io,B,0.7541,1.43 ETH,1.0 ETH,0.56 ETH,0.2 ETH
Y网,https://y.ceo,B,0.7377,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
币万,http://www.bione.cc/,B,0.7049,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.6885,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
炒客网,https://www.chaoex.io,B,0.6393,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
ZZEX,https://www.zzex.pro,B,0.6066,1.39 ETH,1.0 ETH,0.54 ETH,0.17 ETH
gate.io,https://gateio.news/,B,0.5246,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
AT交易所,https://www.at3.io/,B,0.5082,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
Q网,https://www.myqbtc.com,B,0.4754,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
KKCoin,https://www.kkcoin.com,B,0.459,1.34 ETH,1.0 ETH,0.51 ETH,0.14 ETH
胖比特,https://www.fatbtc.com,B,0.4098,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
Bitstamp,https://www.bitstamp.net,B,0.3934,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
Hubi,https://www.hubi.com/,B,0.3115,1.3 ETH,1.0 ETH,0.48 ETH,0.1 ETH
B网,https://bittrex.com,B,0.2951,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
满币网,https://www.coinbene.com/,B,0.4262,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
P网,https://poloniex.com,B,0.1475,1.26 ETH,1.0 ETH,0.45 ETH,0.05 ETH
Exmo,https://exmo.com/,B,0.1311,1.26 ETH,1.0 ETH,0.45 ETH,0.04 ETH
Coinone,https://coinone.co.kr/,B,0.082,1.25 ETH,1.0 ETH,0.44 ETH,0.03 ETH
bitFlyer,https://bitflyer.jp/,B,0.0492,1.24 ETH,1.0 ETH,0.44 ETH,0.02 ETH
YoBit,https://yobit.net,C,1.0,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
BTCBOX,https://www.btcbox.co.jp/,C,0.9524,1.19 ETH,0.8 ETH,0.29 ETH,0.09 ETH
HPX,https://www.hpx.com/,C,0.9167,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
双子星,https://gemini.com/,C,0.9048,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
itBit,https://www.itbit.com,C,0.8452,1.18 ETH,0.79 ETH,0.27 ETH,0.08 ETH
Coincheck,https://coincheck.com/,C,0.8214,1.18 ETH,0.78 ETH,0.27 ETH,0.08 ETH
Livecoin,https://www.livecoin.net/,C,0.8095,1.18 ETH,0.78 ETH,0.26 ETH,0.08 ETH
酷币,https://www.coolcoin.com,C,0.7857,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
KuCoin,https://www.kucoin.com,C,0.7619,1.17 ETH,0.78 ETH,0.25 ETH,0.07 ETH
FEX,https://fexpro.io/,C,0.75,1.17 ETH,0.78 ETH,0.25 ETH,0.07 ETH
BitBay,https://bitbay.net,C,0.6667,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
Zaif,https://zaif.jp,C,0.6071,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
YEX,http://yex.com/,C,0.5952,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
