厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,0.975,无上限,无上限,3.45 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,0.95,无上限,无上限,3.39 ETH,0.59 ETH
DeBi,https://www.debi.com/,A,0.925,无上限,无上限,3.34 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.875,无上限,无上限,3.24 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.85,无上限,无上限,3.19 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.825,无上限,无上限,3.14 ETH,0.57 ETH
币安网,https://www.binance.com,A,0.8,无上限,无上限,3.09 ETH,0.57 ETH
ZB网,https://www.zb.com,A,0.775,无上限,无上限,3.04 ETH,0.56 ETH
HitBTC,https://hitbtc.com,A,0.675,无上限,无上限,2.86 ETH,0.55 ETH
Bibox,https://www.bibox.com/,A,0.6,无上限,无上限,2.72 ETH,0.54 ETH
Bitfinex,https://www.bitfinex.com,A,0.55,无上限,无上限,2.64 ETH,0.53 ETH
币赢国际站,https://www.coinw.me,A,0.525,无上限,无上限,2.6 ETH,0.52 ETH
Bit.cc,https://www.bit.cc/,A,0.45,无上限,无上限,2.48 ETH,0.51 ETH
DigiFinex,https://www.digifinex.com,A,0.4,无上限,无上限,2.4 ETH,0.5 ETH
BCEX,https://www.bcex.top,A,0.375,无上限,无上限,2.37 ETH,0.5 ETH
Upbit,https://upbit.com/home,A,0.35,无上限,无上限,2.33 ETH,0.49 ETH
FCoin,https://www.fcoin.com/,A,0.275,无上限,无上限,2.22 ETH,0.48 ETH
DragonEx,https://dragonex.im/,A,0.225,无上限,无上限,2.15 ETH,0.47 ETH
胖比特,https://www.fatbtc.com,A,0.2,无上限,无上限,2.12 ETH,0.46 ETH
汇币网,https://hb.top,A,0.125,无上限,无上限,2.02 ETH,0.45 ETH
IDAX,https://www.idax.mn,A,0.025,无上限,无上限,1.9 ETH,0.43 ETH
香港富比特,http://www.fubt.top/,A,0.075,无上限,无上限,1.96 ETH,0.44 ETH
ZG.TOP,https://www.zg.top/,A,0.05,无上限,无上限,1.93 ETH,0.44 ETH
Liquid,https://www.liquid.com/,B,0.9667,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
K网,https://www.kraken.com,B,0.95,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
炒客网,https://www.chaoex.io,B,0.9333,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
CoinTiger,https://www.cointiger.pro,B,0.9,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
币万,http://www.bione.cc/,B,0.9167,1.47 ETH,1.0 ETH,0.59 ETH,0.24 ETH
AT交易所,https://www.at3.com/,B,0.8833,1.46 ETH,1.0 ETH,0.58 ETH,0.23 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.85,1.46 ETH,1.0 ETH,0.58 ETH,0.22 ETH
IDCM,https://www.idcm.io/,B,0.7167,1.42 ETH,1.0 ETH,0.55 ETH,0.2 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.7,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
ZZEX,https://www.zzex.pro,B,0.6833,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
Bitbank,https://bitbank.cc,B,0.6667,1.4 ETH,1.0 ETH,0.55 ETH,0.19 ETH
Allcoin,https://www.allcoinex.io,B,0.6167,1.39 ETH,1.0 ETH,0.54 ETH,0.17 ETH
Bitstamp,https://www.bitstamp.net,B,0.5833,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
KKCoin,https://www.kkcoin.com,B,0.5167,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
B网,https://bittrex.com,B,0.4333,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
bitFlyer,https://bitflyer.jp/,B,0.4167,1.33 ETH,1.0 ETH,0.5 ETH,0.13 ETH
gate.io,https://gateio.io/,B,0.3833,1.32 ETH,1.0 ETH,0.5 ETH,0.12 ETH
Q网,https://www.myqbtc.com,B,0.3667,1.32 ETH,1.0 ETH,0.49 ETH,0.11 ETH
P网,https://poloniex.com,B,0.35,1.31 ETH,1.0 ETH,0.49 ETH,0.11 ETH
币客,https://www.bitker.com/,B,0.3,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
YOEXS,https://y.ceo,B,0.25,1.29 ETH,1.0 ETH,0.47 ETH,0.08 ETH
双子星,https://gemini.com/,B,0.1833,1.27 ETH,1.0 ETH,0.46 ETH,0.06 ETH
YoBit,https://yobit.net,B,0.1167,1.25 ETH,1.0 ETH,0.45 ETH,0.04 ETH
BTCBOX,https://www.btcbox.co.jp/,B,0.1,1.25 ETH,1.0 ETH,0.44 ETH,0.03 ETH
Exmo,https://exmo.com/,B,0.0667,1.24 ETH,1.0 ETH,0.44 ETH,0.02 ETH
itBit,https://www.itbit.com,B,0.0167,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
Coincheck,https://coincheck.com/,C,0.9881,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
满币网,https://www.coinbene.com/,B,0.3333,1.31 ETH,1.0 ETH,0.49 ETH,0.1 ETH
HPX,https://www.hpx.com/,C,0.9405,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
Coinone,https://coinone.co.kr/,C,0.9167,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
Livecoin,https://www.livecoin.net/,C,0.881,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
KuCoin,https://www.kucoin.com,C,0.8333,1.18 ETH,0.78 ETH,0.27 ETH,0.08 ETH
FEX,https://fexpro.io/,C,0.7976,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
BitBay,https://bitbay.net,C,0.7857,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
酷币,https://www.coolcoin.com,C,0.6786,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
李逵,https://liqui.io/,C,0.6429,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
Zaif,https://zaif.jp,C,0.6071,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
柯宾汉,https://www.cobinhood.com/,C,0.5952,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
DSX,https://dsx.uk,C,0.5833,1.16 ETH,0.76 ETH,0.21 ETH,0.04 ETH
OkCoin韩国站,https://www.okcoinkr.com/,C,0.5357,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
Luno,https://www.luno.com,C,0.4881,1.15 ETH,0.75 ETH,0.19 ETH,0.02 ETH
Tidex,https://tidex.com/,C,0.4048,1.14 ETH,0.75 ETH,0.17 ETH,0.01 ETH
C网,https://www.cryptopia.co.nz,C,0.3929,1.14 ETH,0.74 ETH,0.17 ETH,0.01 ETH
YEX,http://yex.com/,C,0.381,1.13 ETH,0.74 ETH,0.16 ETH,0.01 ETH
Rfinex,https://www.rfinex.com/,C,0.3333,1.13 ETH,0.74 ETH,0.15 ETH,0.01 ETH
Bitso,https://bitso.com,C,0.3214,1.13 ETH,0.74 ETH,0.15 ETH,0.01 ETH
CEO交易所,https://ceo.bi,C,0.2738,1.12 ETH,0.73 ETH,0.14 ETH,0.01 ETH
STEX,https://www.stex.com,C,0.25,1.12 ETH,0.73 ETH,0.13 ETH,0.01 ETH
IDEX,https://idex.market,C,0.2262,1.12 ETH,0.73 ETH,0.12 ETH,0.01 ETH
OkCoin国际,https://www.okcoin.com,C,0.2143,1.12 ETH,0.73 ETH,0.12 ETH,0.01 ETH
CREX24,https://crex24.com/zh/,C,0.1667,1.11 ETH,0.72 ETH,0.1 ETH,0.01 ETH
