厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
Bithumb,https://www.bithumb.com/,A,0.975,无上限,无上限,3.45 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.9,无上限,无上限,3.29 ETH,0.58 ETH
OKEX,https://www.okex.com,A,0.875,无上限,无上限,3.24 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.85,无上限,无上限,3.19 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.8,无上限,无上限,3.09 ETH,0.57 ETH
DigiFinex,https://www.digifinex.com,A,0.75,无上限,无上限,2.99 ETH,0.56 ETH
Bitfinex,https://www.bitfinex.com,A,0.7,无上限,无上限,2.9 ETH,0.55 ETH
HitBTC,https://hitbtc.com,A,0.65,无上限,无上限,2.81 ETH,0.54 ETH
Bibox,https://www.bibox.com/,A,0.625,无上限,无上限,2.77 ETH,0.54 ETH
币赢国际站,https://www.coinw.ai/,A,0.6,无上限,无上限,2.72 ETH,0.54 ETH
ZB网,https://www.zb.com,A,0.575,无上限,无上限,2.68 ETH,0.53 ETH
Upbit,https://upbit.com/home,A,0.45,无上限,无上限,2.48 ETH,0.51 ETH
IDAX,https://www.idax.pro/,A,0.425,无上限,无上限,2.44 ETH,0.51 ETH
FCoin,https://www.fcoin.com/,A,0.325,无上限,无上限,2.29 ETH,0.49 ETH
DragonEx,https://dragonex.im/,A,0.2,无上限,无上限,2.12 ETH,0.46 ETH
汇币网,https://hb.top,A,0.175,无上限,无上限,2.09 ETH,0.46 ETH
Coinbase Pro,https://pro.coinbase.com/,A,0.15,无上限,无上限,2.06 ETH,0.45 ETH
IDCM,https://www.idcm.io/,A,0.125,无上限,无上限,2.02 ETH,0.45 ETH
K网,https://www.kraken.com,A,0.1,无上限,无上限,1.99 ETH,0.44 ETH
Bit.cc,https://www.bit.cc/,A,0.075,无上限,无上限,1.96 ETH,0.44 ETH
Liquid,https://www.liquid.com/,A,0.025,无上限,无上限,1.9 ETH,0.43 ETH
CoinTiger,https://www.cointiger.pro,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
