厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
Bithumb,https://www.bithumb.com/,A,0.95,无上限,无上限,3.39 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.925,无上限,无上限,3.34 ETH,0.59 ETH
币安网,https://www.binance.com,A,0.875,无上限,无上限,3.24 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.825,无上限,无上限,3.14 ETH,0.57 ETH
Bit-Z,https://www.bit-z.pro/,A,0.8,无上限,无上限,3.09 ETH,0.57 ETH
HitBTC,https://hitbtc.com,A,0.775,无上限,无上限,3.04 ETH,0.56 ETH
Bibox,https://www.bibox.com/,A,0.75,无上限,无上限,2.99 ETH,0.56 ETH
币赢国际站,https://www.coinw.ai/,A,0.725,无上限,无上限,2.95 ETH,0.56 ETH
DigiFinex,https://www.digifinex.com,A,0.675,无上限,无上限,2.86 ETH,0.55 ETH
ZB网,https://www.zb.com,A,0.65,无上限,无上限,2.81 ETH,0.54 ETH
IDAX,https://www.idax.pro/,A,0.525,无上限,无上限,2.6 ETH,0.52 ETH
CoinTiger,https://www.cointiger.one,A,0.5,无上限,无上限,2.56 ETH,0.52 ETH
香港富比特,http://www.fubt.top/,A,0.4,无上限,无上限,2.4 ETH,0.5 ETH
Upbit,https://upbit.com/home,A,0.375,无上限,无上限,2.37 ETH,0.5 ETH
FCoin,https://www.fcoin.com/,A,0.35,无上限,无上限,2.33 ETH,0.49 ETH
BCEX,https://www.bcex.hk,A,0.325,无上限,无上限,2.29 ETH,0.49 ETH
Bitfinex,https://www.bitfinex.com,A,0.225,无上限,无上限,2.15 ETH,0.47 ETH
胖比特,https://www.fatbtc.com,A,0.2,无上限,无上限,2.12 ETH,0.46 ETH
DragonEx,https://dragonex.im/,A,0.175,无上限,无上限,2.09 ETH,0.46 ETH
炒客网,https://www.chaoex.info,A,0.125,无上限,无上限,2.02 ETH,0.45 ETH
Liquid,https://www.liquid.com/,A,0.1,无上限,无上限,1.99 ETH,0.44 ETH
BITKER,https://www.bitker.com/,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
IDCM,https://www.idcm.cc/,B,0.9839,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
KKCoin,https://www.kkcoin.com,B,0.9355,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Bit.cc,https://www.bit.cc/,B,0.9516,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
WR.NET,https://www.wr.net/,B,0.9194,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
ZG.TOP,https://www.zg.top/,B,0.8226,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
东方交易所,https://www.dfex.com/,B,0.8065,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
ZZEX,https://www.zzex.pro,B,0.7742,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
Bikicoin,https://www.bikicoin.com,B,0.7581,1.43 ETH,1.0 ETH,0.56 ETH,0.2 ETH
Allcoin,https://www.allcoinex.io,B,0.7419,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
BIONE,https://www.bione.cc/,B,0.6935,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.6774,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
K网,https://www.kraken.com,B,0.6452,1.4 ETH,1.0 ETH,0.54 ETH,0.18 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.5323,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
Hubi,https://www.hubi.com/,B,0.4839,1.35 ETH,1.0 ETH,0.52 ETH,0.14 ETH
Bitstamp,https://www.bitstamp.net,B,0.5,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
gate.io,https://gateio.news/,B,0.4677,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
Q网,https://www.myqbtc.com,B,0.3871,1.32 ETH,1.0 ETH,0.5 ETH,0.12 ETH
满币网,https://www.coinbene.com/,B,0.629,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
