厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
Bithumb,https://www.bithumb.com/,A,0.98,无上限,无上限,3.46 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.92,无上限,无上限,3.33 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.88,无上限,无上限,3.25 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.84,无上限,无上限,3.17 ETH,0.57 ETH
ZB网,https://www.zb.com,A,0.8,无上限,无上限,3.09 ETH,0.57 ETH
Bibox,https://www.bibox.com/,A,0.72,无上限,无上限,2.94 ETH,0.56 ETH
Bit-Z,https://www.bit-z.pro/,A,0.7,无上限,无上限,2.9 ETH,0.55 ETH
HitBTC,https://hitbtc.com,A,0.68,无上限,无上限,2.86 ETH,0.55 ETH
Bitfinex,https://www.bitfinex.com,A,0.66,无上限,无上限,2.83 ETH,0.55 ETH
币赢国际站,https://www.coinw.me,A,0.62,无上限,无上限,2.76 ETH,0.54 ETH
DigiFinex,https://www.digifinex.com,A,0.58,无上限,无上限,2.69 ETH,0.53 ETH
Upbit,https://upbit.com/home,A,0.54,无上限,无上限,2.62 ETH,0.53 ETH
Liquid,https://www.liquid.com/,A,0.46,无上限,无上限,2.5 ETH,0.51 ETH
Exrates,https://lk.exrates.me,A,0.38,无上限,无上限,2.37 ETH,0.5 ETH
Bit.cc,https://www.bit.cc/,A,0.36,无上限,无上限,2.34 ETH,0.49 ETH
FCoin,https://www.fcoin.com/,A,0.3,无上限,无上限,2.26 ETH,0.48 ETH
币网,http://www.bw.com/,A,0.9,无上限,无上限,3.29 ETH,0.58 ETH
BCEX,https://www.bcex.top,A,0.22,无上限,无上限,2.15 ETH,0.47 ETH
HB.top汇币网,https://hb.top,A,0.18,无上限,无上限,2.09 ETH,0.46 ETH
Allcoin,https://www.allcoinex.io,A,0.12,无上限,无上限,2.02 ETH,0.45 ETH
DragonEx,https://dragonex.im/,A,0.04,无上限,无上限,1.92 ETH,0.43 ETH
K网,https://www.kraken.com,B,0.9868,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
CoinTiger,https://www.cointiger.pro,B,0.9737,1.49 ETH,1.0 ETH,0.6 ETH,0.25 ETH
Bitbank,https://bitbank.cc,B,0.9474,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
IDAX,https://www.idax.mn,B,0.9342,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.9211,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
香港富比特,http://www.fubt.top/,B,0.8684,1.46 ETH,1.0 ETH,0.58 ETH,0.23 ETH
MXC,https://www.mxc.com,A,0.32,无上限,无上限,2.29 ETH,0.49 ETH
ZG.TOP,https://www.zg.top/,B,0.6974,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
AT交易所,https://www.at3.com/,B,0.6579,1.4 ETH,1.0 ETH,0.55 ETH,0.18 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.75,1.43 ETH,1.0 ETH,0.56 ETH,0.2 ETH
bitFlyer,https://bitflyer.jp/,B,0.5921,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
Bitstamp,https://www.bitstamp.net,B,0.5789,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
YOEXS,https://yoe.im,B,0.5395,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
比特儿海外版,https://gateio.io/,B,0.5132,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
B网,https://bittrex.com,B,0.7368,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
KKCoin,https://www.kkcoin.com,A,0.56,无上限,无上限,2.66 ETH,0.53 ETH
满币网,https://www.coinbene.com/,A,0.78,无上限,无上限,3.05 ETH,0.57 ETH
Q网,https://www.myqbtc.com,B,0.4605,1.34 ETH,1.0 ETH,0.51 ETH,0.14 ETH
P网,https://poloniex.com,B,0.4211,1.33 ETH,1.0 ETH,0.5 ETH,0.13 ETH
胖比特,https://www.fatbtc.com,B,0.5,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
炒客网,https://www.chaoex.io,B,0.5526,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
BTCBOX,https://www.btcbox.co.jp/,B,0.1974,1.27 ETH,1.0 ETH,0.46 ETH,0.06 ETH
Exmo,https://exmo.com/,B,0.1842,1.27 ETH,1.0 ETH,0.46 ETH,0.06 ETH
itBit,https://www.itbit.com,B,0.1184,1.25 ETH,1.0 ETH,0.45 ETH,0.04 ETH
双子星,https://gemini.com/,B,0.0395,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
Coincheck,https://coincheck.com/,B,0.5263,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
Livecoin,https://www.livecoin.net/,B,0.0789,1.24 ETH,1.0 ETH,0.44 ETH,0.03 ETH
Coinone,https://coinone.co.kr/,C,1.0,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
YoBit,https://yobit.net,B,0.2763,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
KuCoin,https://www.kucoin.com,B,0.0132,1.23 ETH,1.0 ETH,0.43 ETH,0.0 ETH
BitBay,https://bitbay.net,C,0.945,1.19 ETH,0.8 ETH,0.29 ETH,0.09 ETH
IDCM,https://www.idcm.io/,C,0.9266,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
FEX,https://fexpro.io/,C,0.8716,1.19 ETH,0.79 ETH,0.28 ETH,0.08 ETH
酷币,https://www.coolcoin.com,C,0.8624,1.19 ETH,0.79 ETH,0.27 ETH,0.08 ETH
Zaif,https://zaif.jp,C,0.7982,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
李逵,https://liqui.io/,C,0.7798,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
柯宾汉,https://www.cobinhood.com/,C,0.7156,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
YEX,http://yex.com/,C,0.7615,1.17 ETH,0.78 ETH,0.25 ETH,0.07 ETH
HPX,https://www.hpx.com/,C,0.7339,1.17 ETH,0.78 ETH,0.25 ETH,0.06 ETH
Tidex,https://tidex.com/,C,0.6422,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
OkCoin韩国站,https://www.okcoinkr.com/,B,0.3816,1.32 ETH,1.0 ETH,0.5 ETH,0.12 ETH
BX Thailand,https://bx.in.th,C,0.5505,1.15 ETH,0.76 ETH,0.21 ETH,0.03 ETH
Luno,https://www.luno.com,C,0.4679,1.14 ETH,0.75 ETH,0.19 ETH,0.02 ETH
C网,https://www.cryptopia.co.nz,C,0.4771,1.14 ETH,0.75 ETH,0.19 ETH,0.02 ETH
OkCoin国际,https://www.okcoin.com,C,0.4495,1.14 ETH,0.75 ETH,0.18 ETH,0.01 ETH
Rfinex,https://www.rfinex.com/,C,0.4128,1.14 ETH,0.75 ETH,0.17 ETH,0.01 ETH
BTC Markets,https://btcmarkets.net/,C,0.4404,1.14 ETH,0.75 ETH,0.18 ETH,0.01 ETH
DSX,https://dsx.uk,C,0.422,1.14 ETH,0.75 ETH,0.18 ETH,0.01 ETH
DeBi,https://www.debi.com/,C,0.3945,1.14 ETH,0.74 ETH,0.17 ETH,0.01 ETH
Bitso,https://bitso.com,C,0.3211,1.13 ETH,0.74 ETH,0.15 ETH,0.01 ETH
xBTCe,https://www.xbtce.com/,C,0.6055,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
ACX,https://acx.io/,C,0.2661,1.12 ETH,0.73 ETH,0.13 ETH,0.01 ETH
STEX,https://www.stex.com,C,0.4862,1.15 ETH,0.75 ETH,0.19 ETH,0.02 ETH
CREX24,https://crex24.com/zh/,C,0.2294,1.12 ETH,0.73 ETH,0.12 ETH,0.01 ETH
IDEX,https://idex.market,C,0.9817,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
GDEX,https://www.gdex.io/,C,0.1927,1.11 ETH,0.72 ETH,0.11 ETH,0.01 ETH
CEO交易所,https://ceo.bi,B,0.0921,1.25 ETH,1.0 ETH,0.44 ETH,0.03 ETH
hellobts,https://www.hellobts.com/,C,0.156,1.11 ETH,0.72 ETH,0.1 ETH,0.01 ETH
VNBIG,http://www.vnbig.com/,C,0.0734,1.1 ETH,0.71 ETH,0.08 ETH,0.01 ETH
BigOne,https://big.one,C,0.9908,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
Kuna,https://kuna.io,C,0.0183,1.1 ETH,0.71 ETH,0.06 ETH,0.01 ETH
BoxEx,https://ex.btcbox.com/,C,0.0367,1.1 ETH,0.71 ETH,0.06 ETH,0.01 ETH
OTCBTC,https://otcbtc.com,C,0.055,1.1 ETH,0.71 ETH,0.07 ETH,0.01 ETH
Bleutrade,https://bleutrade.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
Fisco,https://fcce.jp,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
KKEX,https://kkex.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
COINNEST,http://www.coinnest.co.kr,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
WEX,https://wex.nz,C,0.6514,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
加勒比H网,http://hht.one/,B,0.9605,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
趣币网,https://www.qubi.com,A,0.94,无上限,无上限,3.37 ETH,0.59 ETH
IOAEX,http://www.ioaex.com,A,0.74,无上限,无上限,2.97 ETH,0.56 ETH
VVBTC,http://www.vvbtc.com,A,0.64,无上限,无上限,2.79 ETH,0.54 ETH
LBank,https://www.lbkex.com/,A,0.76,无上限,无上限,3.01 ETH,0.56 ETH
OEX全球站,https://www.oex.com/,A,0.6,无上限,无上限,2.72 ETH,0.54 ETH
币夫,https://www.bitforex.com/,A,0.86,无上限,无上限,3.21 ETH,0.58 ETH
BQEX,https://www.bqex.pro/,A,0.52,无上限,无上限,2.59 ETH,0.52 ETH
币万,http://www.bione.cc/,A,0.5,无上限,无上限,2.56 ETH,0.52 ETH
Huobi DM,https://www.hbdm.com,A,0.48,无上限,无上限,2.53 ETH,0.51 ETH
BitMart,https://www.bitmart.com/,A,0.34,无上限,无上限,2.31 ETH,0.49 ETH
Coinsuper,https://www.coinsuper.com/,A,0.2,无上限,无上限,2.12 ETH,0.46 ETH
币涨,https://www.btrise.com/,A,0.26,无上限,无上限,2.2 ETH,0.48 ETH
星客,https://www.silktrader.net/,A,0.16,无上限,无上限,2.07 ETH,0.46 ETH
XTRA,https://www.xtraex.com/,A,0.14,无上限,无上限,2.04 ETH,0.45 ETH
Simex,https://simex.global/ru,A,0.06,无上限,无上限,1.94 ETH,0.44 ETH
BKEX,https://www.bkex.com/,A,0.02,无上限,无上限,1.89 ETH,0.43 ETH
6x交易站,https://www.6x.com,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
币客,https://www.bitker.com/,A,0.24,无上限,无上限,2.17 ETH,0.47 ETH
ZZEX,https://www.zzex.pro,B,0.9079,1.47 ETH,1.0 ETH,0.59 ETH,0.23 ETH
紫牛币交所,http://www.purcow.io/,A,0.1,无上限,无上限,1.99 ETH,0.44 ETH
PK.TOP,http://www.pk.top/,B,0.8947,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
COIEX,https://coiex.io/,B,0.8553,1.46 ETH,1.0 ETH,0.58 ETH,0.22 ETH
10086coin,https://www.10086coin.io/,B,0.8289,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
BitMax,https://bitmax.io,B,0.8421,1.45 ETH,1.0 ETH,0.58 ETH,0.22 ETH
Bitget,https://www.bitget.com/,B,0.7763,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
币管家,https://bgj.io/,B,0.8026,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
币蛋,https://www.coinegg.com/,B,0.7895,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
LATOKEN,https://latoken.com/,B,0.7632,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
Dcoin,https://www.dcoin.com/,B,0.8816,1.46 ETH,1.0 ETH,0.58 ETH,0.23 ETH
T网,https://www.tokencan.com,B,0.7105,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
58COIN,http://www.58coin.com/,A,0.82,无上限,无上限,3.13 ETH,0.57 ETH
东方交易所,https://www.df.com/,B,0.7237,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
Ethfinex,https://www.ethfinex.com/,B,0.6842,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
币尔,https://www.coineal.com/,B,0.6447,1.4 ETH,1.0 ETH,0.54 ETH,0.18 ETH
币龙网,https://www.bitalong.com/,B,0.6316,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
HEX,https://www.hex.com/,B,0.6053,1.38 ETH,1.0 ETH,0.54 ETH,0.17 ETH
币诺,https://coinoah.com/,B,0.6184,1.39 ETH,1.0 ETH,0.54 ETH,0.17 ETH
Dididu,http://www.dididu.com/,B,0.5658,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
COIN918,http://www.coin918.cc/,B,0.4868,1.35 ETH,1.0 ETH,0.52 ETH,0.14 ETH
币扬,http://www.bityoung.com/,B,0.4474,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
