厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
Bithumb,https://www.bithumb.com/,A,0.9744,无上限,无上限,3.44 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.9487,无上限,无上限,3.39 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.9231,无上限,无上限,3.34 ETH,0.59 ETH
火币全球站,https://www.huobi.co,A,0.8718,无上限,无上限,3.23 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.8205,无上限,无上限,3.13 ETH,0.57 ETH
HitBTC,https://hitbtc.com,A,0.7949,无上限,无上限,3.08 ETH,0.57 ETH
Bibox,https://www.bibox.com/,A,0.7692,无上限,无上限,3.03 ETH,0.56 ETH
ZB网,https://www.zb.com,A,0.7179,无上限,无上限,2.93 ETH,0.56 ETH
Upbit,https://upbit.com/home,A,0.6667,无上限,无上限,2.84 ETH,0.55 ETH
DigiFinex,https://www.digifinex.com,A,0.641,无上限,无上限,2.8 ETH,0.54 ETH
Bitfinex,https://www.bitfinex.com,A,0.5128,无上限,无上限,2.58 ETH,0.52 ETH
FCoin,https://www.fcoin.com/,A,0.4615,无上限,无上限,2.5 ETH,0.51 ETH
币赢国际站,https://www.coinw.me,A,0.4103,无上限,无上限,2.42 ETH,0.5 ETH
IDAX,https://www.idax.pro/,A,0.359,无上限,无上限,2.34 ETH,0.49 ETH
香港富比特,http://www.fubt.top/,A,0.2821,无上限,无上限,2.23 ETH,0.48 ETH
Bit.cc,https://www.bit.cc/,A,0.2308,无上限,无上限,2.16 ETH,0.47 ETH
Bitbank,https://bitbank.cc,A,0.1795,无上限,无上限,2.09 ETH,0.46 ETH
DragonEx,https://dragonex.im/,A,0.1538,无上限,无上限,2.06 ETH,0.46 ETH
汇币网,https://hb.top,A,0.1282,无上限,无上限,2.03 ETH,0.45 ETH
K网,https://www.kraken.com,A,0.0513,无上限,无上限,1.93 ETH,0.44 ETH
Coinbase Pro,https://pro.coinbase.com/,A,0.0256,无上限,无上限,1.9 ETH,0.43 ETH
Liquid,https://www.liquid.com/,A,0.0256,无上限,无上限,1.9 ETH,0.43 ETH
ZG.TOP,https://www.zg.top/,B,0.9333,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
CoinTiger,https://www.cointiger.pro,B,0.9167,1.47 ETH,1.0 ETH,0.59 ETH,0.24 ETH
币客,https://www.bitker.com/,B,0.9,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
gate.io,https://gateio.news/,B,0.85,1.46 ETH,1.0 ETH,0.58 ETH,0.22 ETH
Bitstamp,https://www.bitstamp.net,B,0.8,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
ZZEX,https://www.zzex.pro,B,0.75,1.43 ETH,1.0 ETH,0.56 ETH,0.2 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.7167,1.42 ETH,1.0 ETH,0.55 ETH,0.2 ETH
IDCM,https://www.idcm.io/,B,0.7,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
Allcoin,https://www.allcoinex.io,B,0.6833,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
YOEXS,https://y.ceo,B,0.6667,1.4 ETH,1.0 ETH,0.55 ETH,0.19 ETH
币万,http://www.bione.cc/,B,0.65,1.4 ETH,1.0 ETH,0.54 ETH,0.18 ETH
BCEX,https://www.bcex.top,B,0.6333,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
KKCoin,https://www.kkcoin.com,B,0.6,1.38 ETH,1.0 ETH,0.54 ETH,0.17 ETH
B网,https://bittrex.com,B,0.5667,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
东方交易所,https://www.df.com/,B,0.55,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
Hubi,https://www.hubi.com/,B,0.4833,1.35 ETH,1.0 ETH,0.52 ETH,0.14 ETH
炒客网,https://www.chaoex.io,B,0.45,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
Q网,https://www.myqbtc.com,B,0.4333,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
bitFlyer,https://bitflyer.jp/,B,0.4,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
胖比特,https://www.fatbtc.com,B,0.3667,1.32 ETH,1.0 ETH,0.49 ETH,0.11 ETH
P网,https://poloniex.com,B,0.35,1.31 ETH,1.0 ETH,0.49 ETH,0.11 ETH
双子星,https://gemini.com/,B,0.2833,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
Coinone,https://coinone.co.kr/,B,0.25,1.29 ETH,1.0 ETH,0.47 ETH,0.08 ETH
YoBit,https://yobit.net,B,0.1833,1.27 ETH,1.0 ETH,0.46 ETH,0.06 ETH
满币网,https://www.coinbene.com/,B,0.4167,1.33 ETH,1.0 ETH,0.5 ETH,0.13 ETH
Coincheck,https://coincheck.com/,B,0.1167,1.25 ETH,1.0 ETH,0.45 ETH,0.04 ETH
Exmo,https://exmo.com/,B,0.1,1.25 ETH,1.0 ETH,0.44 ETH,0.03 ETH
BTCBOX,https://www.btcbox.co.jp/,B,0.0667,1.24 ETH,1.0 ETH,0.44 ETH,0.02 ETH
HPX,https://www.hpx.com/,B,0.0167,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
