厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,0.9744,无上限,无上限,3.44 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.9231,无上限,无上限,3.34 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.8974,无上限,无上限,3.28 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.8718,无上限,无上限,3.23 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.8205,无上限,无上限,3.13 ETH,0.57 ETH
Upbit,https://upbit.com/home,A,0.7692,无上限,无上限,3.03 ETH,0.56 ETH
Bibox,https://www.bibox.com/,A,0.641,无上限,无上限,2.8 ETH,0.54 ETH
HitBTC,https://hitbtc.com,A,0.6154,无上限,无上限,2.75 ETH,0.54 ETH
DigiFinex,https://www.digifinex.com,A,0.5897,无上限,无上限,2.71 ETH,0.53 ETH
币赢国际站,https://www.coinw.ai/,A,0.5385,无上限,无上限,2.62 ETH,0.52 ETH
ZB网,https://www.zb.com,A,0.4359,无上限,无上限,2.46 ETH,0.51 ETH
IDAX,https://www.idax.pro/,A,0.4103,无上限,无上限,2.42 ETH,0.5 ETH
Bitfinex,https://www.bitfinex.com,A,0.3333,无上限,无上限,2.31 ETH,0.49 ETH
DragonEx,https://dragonex.im/,A,0.2308,无上限,无上限,2.16 ETH,0.47 ETH
Bit.cc,https://www.bit.cc/,A,0.2051,无上限,无上限,2.13 ETH,0.46 ETH
FCoin,https://www.fcoin.com/,A,0.1538,无上限,无上限,2.06 ETH,0.46 ETH
汇币网,https://hb.top,A,0.1282,无上限,无上限,2.03 ETH,0.45 ETH
ZG.TOP,https://www.zg.top/,A,0.1026,无上限,无上限,2.0 ETH,0.45 ETH
K网,https://www.kraken.com,A,0.0769,无上限,无上限,1.96 ETH,0.44 ETH
CoinTiger,https://www.cointiger.pro,A,0.0256,无上限,无上限,1.9 ETH,0.43 ETH
Bitbank,https://bitbank.cc,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
Liquid,https://www.liquid.com/,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
香港富比特,http://www.fubt.top/,B,0.95,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Allcoin,https://www.allcoinex.io,B,0.9167,1.47 ETH,1.0 ETH,0.59 ETH,0.24 ETH
炒客网,https://www.chaoex.io,B,0.9333,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
东方交易所,https://www.df.com/,B,0.9,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.8833,1.46 ETH,1.0 ETH,0.58 ETH,0.23 ETH
ZZEX,https://www.zzex.pro,B,0.8333,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
IDCM,https://www.idcm.io/,B,0.8167,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
币客,https://www.bitker.com/,B,0.8,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
gate.io,https://gateio.news/,B,0.7833,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
YOEXS,https://y.ceo,B,0.75,1.43 ETH,1.0 ETH,0.56 ETH,0.2 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.7167,1.42 ETH,1.0 ETH,0.55 ETH,0.2 ETH
币万,http://www.bione.cc/,B,0.6667,1.4 ETH,1.0 ETH,0.55 ETH,0.19 ETH
AT交易所,https://www.at3.com.cn,B,0.5833,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
Bitstamp,https://www.bitstamp.net,B,0.5667,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
Q网,https://www.myqbtc.com,B,0.55,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
胖比特,https://www.fatbtc.com,B,0.5167,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
B网,https://bittrex.com,B,0.5,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
KKCoin,https://www.kkcoin.com,B,0.4333,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
P网,https://poloniex.com,B,0.3333,1.31 ETH,1.0 ETH,0.49 ETH,0.1 ETH
bitFlyer,https://bitflyer.jp/,B,0.3167,1.31 ETH,1.0 ETH,0.49 ETH,0.1 ETH
满币网,https://www.coinbene.com/,B,0.5333,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
Hubi,https://www.hubi.com/,B,0.2333,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
BCEX,https://www.bcex.top,B,0.2167,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
Coinone,https://coinone.co.kr/,B,0.1667,1.27 ETH,1.0 ETH,0.46 ETH,0.05 ETH
KuCoin,https://www.kucoin.com,B,0.15,1.26 ETH,1.0 ETH,0.45 ETH,0.05 ETH
itBit,https://www.itbit.com,B,0.0833,1.25 ETH,1.0 ETH,0.44 ETH,0.03 ETH
BTCBOX,https://www.btcbox.co.jp/,B,0.0333,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
HPX,https://www.hpx.com/,B,0.0333,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
Exmo,https://exmo.com/,C,1.0,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
