厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
币安网,https://www.binance-cn.com/,A,9,无上限,无上限,3.0 ETH,0.6 ETH
火币全球站,https://www.huobi.vn/,A,9,无上限,无上限,3.0 ETH,0.6 ETH
Coinbase Pro,https://pro.coinbase.com/,A,8,无上限,无上限,2.41 ETH,0.54 ETH
BitMEX,https://www.bitmex.com/,A,8,无上限,无上限,2.41 ETH,0.54 ETH
OKEX,https://www.okex.com,A,8,无上限,无上限,2.41 ETH,0.54 ETH
B网(Bittrex),https://bittrex.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Bitfinex,https://www.bitfinex.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
bitFlyer,https://bitflyer.jp/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
ZB网,https://www.zb.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Bitstamp,https://www.bitstamp.net,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
K网(Kraken),https://www.kraken.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Upbit,https://upbit.com/home,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
P网(Poloniex),https://poloniex.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
HitBTC,https://hitbtc.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Bithumb,https://www.bithumb.com/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
MXC,https://www.mxc.com,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
Liquid,https://www.liquid.com/,B,7,3.0 ETH,1.6 ETH,0.7 ETH,0.4 ETH
gate.io,https://gateio.news/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
A网(AOFEX),https://aofex.com,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
Bibox,https://www.bibox.com/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
ZG.com,https://www.zg.com/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
双子星,https://gemini.com/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
IDAX,https://www.idax.pro/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
BitZ,https://www.bitz.top/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
BiKi,https://www.biki.com,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
Bitget,https://www.bitget.cc/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
ZBG,https://www.zbg.com/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
币赢国际站,https://www.coinw.ai/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
BKEX,https://www.bkex.vip,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
T网,https://www.tokencan.net,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
CoinTiger,https://www.cointiger.com/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
瓦特交易所,https://www.wbf.io/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
BG交易所,http://www.bg.ink,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
币团网(Bituan),http://www.bituan.cc/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
ZT,https://www.zt.com/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
BTB.io,https://www.btb.io/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
DigiFinex,https://www.digifinex.com,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
LBank,https://www.lbkex.co/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
ZZEX,https://www.zzex.me/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
ZG.TOP,https://zg.top/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
雷盾交易所,https://www.loex.io,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
A网(AEX),https://www.aex.plus/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
FUBT,https://www.fubt.com,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
HCoin,https://www.hcoin86.com/,B,6,2.53 ETH,1.49 ETH,0.66 ETH,0.34 ETH
BitMart,https://www.bitmart.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
BIONE,https://www.bione.cc/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
BigONE,https://big.one,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
Q网,https://www.qbtc.ink/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
VVBTC,https://www.vvbtc.com,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
东方交易所,https://www.dfex.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
XT网,https://www.xt.com,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
YoBit,https://yobit.net,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
币权全球站,http://www.bqex.vip/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
BFX合约平台,https://www.bfx.nu,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
EXX,https://www.exx.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
大币网,https://www.dcoin.pro/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
牛顿交易所,https://www.newtonslaw.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
Coinone,https://coinone.co.kr/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
KuCoin,https://www.kcs.top/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
COINBIG,https://www.coinbig.org/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
热币全球,https://www.hotcoinex.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
FCoin,https://www.fcoin.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
胖比特,https://www.fatbtc.com,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
99EX,https://www.99ex.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
CoinBene,https://www.coinbene.vip/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
币对,https://www.coin-dy.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
BCEX,https://www.bcex.hk,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
Coincheck,https://coincheck.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
币帝,https://www.bdw.top/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
币多多,https://www.bddex.io/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
GJ比特国际,https://www.gj.com,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
CC Global,https://www.2c.ltd/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
OCX,https://www.ocx.app/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
GOKO,https://www.goko.com/,C,5,1.4 ETH,1.2 ETH,0.6 ETH,0.15 ETH
CEO交易所,https://www.ceobi.com/,C,4,1.3 ETH,1.25 ETH,0.53 ETH,0.15 ETH
