厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
Bithumb,https://www.bithumb.com/,A,0.9773,无上限,无上限,3.45 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.9318,无上限,无上限,3.35 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.9091,无上限,无上限,3.31 ETH,0.59 ETH
火币全球站,https://www.huobi.co,A,0.8409,无上限,无上限,3.17 ETH,0.58 ETH
Bitfinex,https://www.bitfinex.com,A,0.7955,无上限,无上限,3.08 ETH,0.57 ETH
ZB网,https://www.zb.com,A,0.75,无上限,无上限,2.99 ETH,0.56 ETH
Bibox,https://www.bibox.com/,A,0.6591,无上限,无上限,2.83 ETH,0.55 ETH
Upbit,https://upbit.com/home,A,0.6364,无上限,无上限,2.79 ETH,0.54 ETH
Bit-Z,https://www.bit-z.pro/,A,0.5682,无上限,无上限,2.67 ETH,0.53 ETH
DigiFinex,https://www.digifinex.com,A,0.5,无上限,无上限,2.56 ETH,0.52 ETH
K网,https://www.kraken.com,A,0.4545,无上限,无上限,2.49 ETH,0.51 ETH
HitBTC,https://hitbtc.com,A,0.4318,无上限,无上限,2.45 ETH,0.51 ETH
币赢国际站,https://www.coinw.me,A,0.4091,无上限,无上限,2.42 ETH,0.5 ETH
Coinbase Pro,https://pro.coinbase.com/,A,0.3636,无上限,无上限,2.35 ETH,0.49 ETH
Liquid,https://www.liquid.com/,A,0.3409,无上限,无上限,2.32 ETH,0.49 ETH
FCoin,https://www.fcoin.com/,A,0.25,无上限,无上限,2.19 ETH,0.47 ETH
加勒比H网,http://hht.one/,A,0.1818,无上限,无上限,2.1 ETH,0.46 ETH
币网,http://www.bw.com/,A,0.9545,无上限,无上限,3.4 ETH,0.59 ETH
Bit.cc,https://www.bit.cc/,A,0.2273,无上限,无上限,2.16 ETH,0.47 ETH
BCEX,https://www.bcex.top,A,0.2955,无上限,无上限,2.25 ETH,0.48 ETH
IDCM,https://www.idcm.io/,A,0.0682,无上限,无上限,1.95 ETH,0.44 ETH
香港富比特,http://www.fubt.top/,A,0.1591,无上限,无上限,2.07 ETH,0.46 ETH
Bitbank,https://bitbank.cc,B,0.9552,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
DragonEx,https://dragonex.im/,B,0.9851,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
IDAX,https://www.idax.mn,A,0.3864,无上限,无上限,2.38 ETH,0.5 ETH
HB.top汇币网,https://hb.top,B,0.9104,1.47 ETH,1.0 ETH,0.59 ETH,0.23 ETH
Bitstamp,https://www.bitstamp.net,B,0.8955,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
CoinTiger,https://www.cointiger.pro,B,0.8657,1.46 ETH,1.0 ETH,0.58 ETH,0.23 ETH
Allcoin,https://www.allcoinex.io,B,0.806,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
ZG.TOP,https://www.zg.top/,B,0.791,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
bitFlyer,https://bitflyer.jp/,B,0.7164,1.42 ETH,1.0 ETH,0.55 ETH,0.2 ETH
B网,https://bittrex.com,B,0.9403,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
KKCoin,https://www.kkcoin.com,A,0.6136,无上限,无上限,2.75 ETH,0.54 ETH
ZZEX,https://www.zzex.pro,B,0.6567,1.4 ETH,1.0 ETH,0.55 ETH,0.18 ETH
MXC,https://www.mxc.com,A,0.4773,无上限,无上限,2.52 ETH,0.51 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.7463,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
P网,https://poloniex.com,B,0.5821,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
AT交易所,https://www.at3.com/,B,0.6119,1.39 ETH,1.0 ETH,0.54 ETH,0.17 ETH
比特儿海外版,https://gateio.io/,B,0.5522,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
炒客网,https://www.chaoex.io,B,0.6269,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
双子星,https://gemini.com/,B,0.4776,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
满币网,https://www.coinbene.com/,A,0.7273,无上限,无上限,2.95 ETH,0.56 ETH
YOEXS,https://yoe.im,B,0.4328,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
胖比特,https://www.fatbtc.com,B,0.4478,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
Coincheck,https://coincheck.com/,B,0.597,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
Q网,https://www.myqbtc.com,B,0.3433,1.31 ETH,1.0 ETH,0.49 ETH,0.11 ETH
币客,https://www.bitker.com/,B,0.2239,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
itBit,https://www.itbit.com,B,0.1493,1.26 ETH,1.0 ETH,0.45 ETH,0.05 ETH
