厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,0.9744,无上限,无上限,3.44 ETH,0.6 ETH
OKEX,https://www.okex.com,A,0.9487,无上限,无上限,3.39 ETH,0.59 ETH
币安网,https://www.binance.com,A,0.8718,无上限,无上限,3.23 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.8462,无上限,无上限,3.18 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.7949,无上限,无上限,3.08 ETH,0.57 ETH
HitBTC,https://hitbtc.com,A,0.7436,无上限,无上限,2.98 ETH,0.56 ETH
Bibox,https://www.bibox.com/,A,0.7179,无上限,无上限,2.93 ETH,0.56 ETH
Bit.cc,https://www.bit.cc/,A,0.6923,无上限,无上限,2.89 ETH,0.55 ETH
ZB网,https://www.zb.com,A,0.5641,无上限,无上限,2.66 ETH,0.53 ETH
Bitfinex,https://www.bitfinex.com,A,0.5128,无上限,无上限,2.58 ETH,0.52 ETH
FCoin,https://www.fcoin.com/,A,0.4872,无上限,无上限,2.54 ETH,0.52 ETH
DigiFinex,https://www.digifinex.com,A,0.4615,无上限,无上限,2.5 ETH,0.51 ETH
币赢国际站,https://www.coinw.me,A,0.4359,无上限,无上限,2.46 ETH,0.51 ETH
DragonEx,https://dragonex.im/,A,0.3333,无上限,无上限,2.31 ETH,0.49 ETH
汇币网,https://hb.top,A,0.2821,无上限,无上限,2.23 ETH,0.48 ETH
Upbit,https://upbit.com/home,A,0.2564,无上限,无上限,2.2 ETH,0.47 ETH
IDAX,https://www.idax.pro/,A,0.2308,无上限,无上限,2.16 ETH,0.47 ETH
ZG.TOP,https://www.zg.top/,A,0.1026,无上限,无上限,2.0 ETH,0.45 ETH
Allcoin,https://www.allcoinex.io,A,0.0513,无上限,无上限,1.93 ETH,0.44 ETH
Liquid,https://www.liquid.com/,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
YOEXS,https://y.ceo,B,0.9,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
香港富比特,http://www.fubt.top/,B,0.95,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.9333,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
ZZEX,https://www.zzex.pro,B,0.9167,1.47 ETH,1.0 ETH,0.59 ETH,0.24 ETH
K网,https://www.kraken.com,B,0.85,1.46 ETH,1.0 ETH,0.58 ETH,0.22 ETH
Bitbank,https://bitbank.cc,B,0.8333,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
胖比特,https://www.fatbtc.com,B,0.7667,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
IDCM,https://www.idcm.io/,B,0.8,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
币客,https://www.bitker.com/,B,0.7833,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.7333,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
KKCoin,https://www.kkcoin.com,B,0.6667,1.4 ETH,1.0 ETH,0.55 ETH,0.19 ETH
Q网,https://www.myqbtc.com,B,0.6167,1.39 ETH,1.0 ETH,0.54 ETH,0.17 ETH
gate.io,https://gateio.news/,B,0.5167,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
Bitstamp,https://www.bitstamp.net,B,0.5,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
炒客网,https://www.chaoex.io,B,0.4667,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
B网,https://bittrex.com,B,0.35,1.31 ETH,1.0 ETH,0.49 ETH,0.11 ETH
KuCoin,https://www.kucoin.com,B,0.3,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
P网,https://poloniex.com,B,0.2667,1.29 ETH,1.0 ETH,0.48 ETH,0.08 ETH
BTCBOX,https://www.btcbox.co.jp/,B,0.25,1.29 ETH,1.0 ETH,0.47 ETH,0.08 ETH
Exmo,https://exmo.com/,B,0.2,1.28 ETH,1.0 ETH,0.46 ETH,0.06 ETH
bitFlyer,https://bitflyer.jp/,B,0.15,1.26 ETH,1.0 ETH,0.45 ETH,0.05 ETH
YoBit,https://yobit.net,B,0.1333,1.26 ETH,1.0 ETH,0.45 ETH,0.04 ETH
HPX,https://www.hpx.com/,B,0.0833,1.25 ETH,1.0 ETH,0.44 ETH,0.03 ETH
满币网,https://www.coinbene.com/,B,0.3833,1.32 ETH,1.0 ETH,0.5 ETH,0.12 ETH
Coincheck,https://coincheck.com/,C,1.0,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
Livecoin,https://www.livecoin.net/,C,0.9359,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
Tidex,https://tidex.com/,C,0.9103,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
双子星,https://gemini.com/,C,0.8974,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
Coinone,https://coinone.co.kr/,C,0.8718,1.19 ETH,0.79 ETH,0.28 ETH,0.08 ETH
FEX,https://fexpro.io/,C,0.8462,1.18 ETH,0.79 ETH,0.27 ETH,0.08 ETH
Rfinex,https://www.rfinex.com/,C,0.7821,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
