厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,0.975,无上限,无上限,3.45 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,0.95,无上限,无上限,3.39 ETH,0.59 ETH
币安网,https://www.binance.com,A,0.9,无上限,无上限,3.29 ETH,0.58 ETH
OKEX,https://www.okex.com,A,0.875,无上限,无上限,3.24 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.825,无上限,无上限,3.14 ETH,0.57 ETH
火币全球站,https://www.huobi.co,A,0.8,无上限,无上限,3.09 ETH,0.57 ETH
ZB网,https://www.zb.com,A,0.775,无上限,无上限,3.04 ETH,0.56 ETH
Upbit,https://upbit.com/home,A,0.75,无上限,无上限,2.99 ETH,0.56 ETH
Bibox,https://www.bibox.com/,A,0.725,无上限,无上限,2.95 ETH,0.56 ETH
HitBTC,https://hitbtc.com,A,0.65,无上限,无上限,2.81 ETH,0.54 ETH
DigiFinex,https://www.digifinex.com,A,0.475,无上限,无上限,2.52 ETH,0.51 ETH
IDAX,https://www.idax.pro/,A,0.4,无上限,无上限,2.4 ETH,0.5 ETH
币赢国际站,https://www.coinw.ai/,A,0.375,无上限,无上限,2.37 ETH,0.5 ETH
Bit.cc,https://www.bit.cc/,A,0.25,无上限,无上限,2.19 ETH,0.47 ETH
Bitfinex,https://www.bitfinex.com,A,0.225,无上限,无上限,2.15 ETH,0.47 ETH
DragonEx,https://dragonex.im/,A,0.2,无上限,无上限,2.12 ETH,0.46 ETH
Allcoin,https://www.allcoinex.io,A,0.175,无上限,无上限,2.09 ETH,0.46 ETH
BCEX,https://www.bcex.top,A,0.15,无上限,无上限,2.06 ETH,0.45 ETH
CoinTiger,https://www.cointiger.pro,A,0.075,无上限,无上限,1.96 ETH,0.44 ETH
BITKER,https://www.bitker.com/,A,0.025,无上限,无上限,1.9 ETH,0.43 ETH
ZG.TOP,https://www.zg.top/,B,0.9833,1.49 ETH,1.0 ETH,0.6 ETH,0.25 ETH
香港富比特,http://www.fubt.top/,B,0.95,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
FCoin,https://www.fcoin.com/,B,0.9333,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
东方交易所,https://www.dfex.com/,B,0.9,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
Liquid,https://www.liquid.com/,B,0.8,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
币万,https://www.bione.cc/,B,0.7667,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
胖比特,https://www.fatbtc.com,B,0.75,1.43 ETH,1.0 ETH,0.56 ETH,0.2 ETH
K网,https://www.kraken.com,B,0.7167,1.42 ETH,1.0 ETH,0.55 ETH,0.2 ETH
ZZEX,https://www.zzex.pro,B,0.6667,1.4 ETH,1.0 ETH,0.55 ETH,0.19 ETH
Y网,https://y.ceo,B,0.6167,1.39 ETH,1.0 ETH,0.54 ETH,0.17 ETH
Q网,https://www.myqbtc.com,B,0.5833,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
IDCM,https://www.idcm.cc/,B,0.55,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.5333,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
Hubi,https://www.hubi.com/,B,0.45,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
炒客网,https://www.chaoex.io,B,0.4167,1.33 ETH,1.0 ETH,0.5 ETH,0.13 ETH
AT交易所,https://www.at3.io/,B,0.3833,1.32 ETH,1.0 ETH,0.5 ETH,0.12 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.3667,1.32 ETH,1.0 ETH,0.49 ETH,0.11 ETH
KKCoin,https://www.kkcoin.com,B,0.3,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
gate.io,https://gateio.news/,B,0.2833,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
B网,https://bittrex.com,B,0.2333,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
Bitstamp,https://www.bitstamp.net,B,0.2333,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
满币网,https://www.coinbene.com/,B,0.3333,1.31 ETH,1.0 ETH,0.49 ETH,0.1 ETH
Exmo,https://exmo.com/,B,0.1167,1.25 ETH,1.0 ETH,0.45 ETH,0.04 ETH
Bitbank,https://bitbank.cc,B,0.1,1.25 ETH,1.0 ETH,0.44 ETH,0.03 ETH
BTCBOX,https://www.btcbox.co.jp/,B,0.0667,1.24 ETH,1.0 ETH,0.44 ETH,0.02 ETH
YoBit,https://yobit.net,B,0.0167,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
HPX,https://www.hpx.com/,C,0.9875,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
bitFlyer,https://bitflyer.jp/,C,0.9375,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
双子星,https://gemini.com/,C,0.9125,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
P网,https://poloniex.com,C,0.8875,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
酷币,https://www.coolcoin.com,C,0.85,1.18 ETH,0.79 ETH,0.27 ETH,0.08 ETH
Livecoin,https://www.livecoin.net/,C,0.825,1.18 ETH,0.78 ETH,0.27 ETH,0.08 ETH
Coinone,https://coinone.co.kr/,C,0.7875,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
FEX,https://fexpro.net/,C,0.7625,1.17 ETH,0.78 ETH,0.25 ETH,0.07 ETH
itBit,https://www.itbit.com,C,0.7,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
KuCoin,https://www.kucoin.com,C,0.6625,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
Coincheck,https://coincheck.com/,C,0.6375,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
BitBay,https://bitbay.net,C,0.6125,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
YEX,http://yex.com/,C,0.6,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
Zaif,https://zaif.jp,C,0.5875,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
OkCoin韩国站,https://www.okcoinkr.com/,C,0.5625,1.15 ETH,0.76 ETH,0.21 ETH,0.03 ETH
STEX,https://www.stex.com,C,0.525,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
Tidex,https://tidex.com/,C,0.4625,1.14 ETH,0.75 ETH,0.19 ETH,0.01 ETH
Luno,https://www.luno.com,C,0.4125,1.14 ETH,0.75 ETH,0.17 ETH,0.01 ETH
Rfinex,https://www.rfinex.com/,C,0.4,1.14 ETH,0.74 ETH,0.17 ETH,0.01 ETH
柯宾汉,https://www.cobinhood.com/,C,0.3125,1.13 ETH,0.74 ETH,0.15 ETH,0.01 ETH
CEO交易所,https://ceo.bi,C,0.2625,1.12 ETH,0.73 ETH,0.13 ETH,0.01 ETH
DSX,https://dsx.uk,C,0.25,1.12 ETH,0.73 ETH,0.13 ETH,0.01 ETH
BigOne,https://big.one,C,0.225,1.12 ETH,0.73 ETH,0.12 ETH,0.01 ETH
OkCoin国际,https://www.okcoin.com,C,0.2,1.12 ETH,0.73 ETH,0.11 ETH,0.01 ETH
Bitso,https://bitso.com,C,0.1875,1.11 ETH,0.72 ETH,0.11 ETH,0.01 ETH
ACX,https://acx.io/,C,0.15,1.11 ETH,0.72 ETH,0.1 ETH,0.01 ETH
IDEX,https://idex.market,C,0.1375,1.11 ETH,0.72 ETH,0.1 ETH,0.01 ETH
