厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
币安网,https://www.binance.co/,A,9,无上限,无上限,3.0 ETH,0.6 ETH
火币全球站,https://www.huobi.co,A,9,无上限,无上限,3.0 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,9,无上限,无上限,3.0 ETH,0.6 ETH
Bitfinex,https://www.bitfinex.com,A,9,无上限,无上限,3.0 ETH,0.6 ETH
OKEX,https://www.okex.com,A,9,无上限,无上限,3.0 ETH,0.6 ETH
Coinbase Pro,https://pro.coinbase.com/,A,8,无上限,无上限,2.55 ETH,0.55 ETH
B网,https://bittrex.com,A,8,无上限,无上限,2.55 ETH,0.55 ETH
K网,https://www.kraken.com,A,7,无上限,无上限,2.39 ETH,0.53 ETH
HitBTC,https://hitbtc.com,A,7,无上限,无上限,2.39 ETH,0.53 ETH
Bitstamp,https://www.bitstamp.net,A,7,无上限,无上限,2.39 ETH,0.53 ETH
bitFlyer,https://bitflyer.jp/,A,7,无上限,无上限,2.39 ETH,0.53 ETH
gate.io,https://gateio.news/,A,7,无上限,无上限,2.39 ETH,0.53 ETH
Upbit,https://upbit.com/home,A,7,无上限,无上限,2.39 ETH,0.53 ETH
Bibox,https://www.bibox.com/,A,7,无上限,无上限,2.39 ETH,0.53 ETH
IDAX,https://www.idax.pro/,A,7,无上限,无上限,2.39 ETH,0.53 ETH
P网,https://poloniex.com,A,7,无上限,无上限,2.39 ETH,0.53 ETH
ZB网,https://www.zb.com,A,7,无上限,无上限,2.39 ETH,0.53 ETH
Bit-Z,https://www.bitz.com/,B,6,2.0 ETH,1.5 ETH,0.7 ETH,0.3 ETH
Bithumb,https://www.bithumb.com/,B,6,2.0 ETH,1.5 ETH,0.7 ETH,0.3 ETH
双子星,https://gemini.com/,B,6,2.0 ETH,1.5 ETH,0.7 ETH,0.3 ETH
Liquid,https://www.liquid.com/,B,6,2.0 ETH,1.5 ETH,0.7 ETH,0.3 ETH
KuCoin,https://www.kucoin.com,B,6,2.0 ETH,1.5 ETH,0.7 ETH,0.3 ETH
DigiFinex,https://www.digifinex.com,B,6,2.0 ETH,1.5 ETH,0.7 ETH,0.3 ETH
BITKER,https://www.bitker.com/,B,6,2.0 ETH,1.5 ETH,0.7 ETH,0.3 ETH
CoinTiger,https://www.cointiger.one,B,5,1.9 ETH,1.45 ETH,0.68 ETH,0.27 ETH
Coinone,https://coinone.co.kr/,B,5,1.9 ETH,1.45 ETH,0.68 ETH,0.27 ETH
币赢国际站,https://www.coinw.ai/,B,5,1.9 ETH,1.45 ETH,0.68 ETH,0.27 ETH
雷盾交易所,https://www.loex.io,B,5,1.9 ETH,1.45 ETH,0.68 ETH,0.27 ETH
COINBIG,https://www.coinbig.org/,B,5,1.9 ETH,1.45 ETH,0.68 ETH,0.27 ETH
BigONE,https://big.one,B,5,1.9 ETH,1.45 ETH,0.68 ETH,0.27 ETH
ZG.TOP,https://www.zg.top/,B,5,1.9 ETH,1.45 ETH,0.68 ETH,0.27 ETH
YoBit,https://yobit.net,B,5,1.9 ETH,1.45 ETH,0.68 ETH,0.27 ETH
ZT.COM,https://www.zt.com/,B,5,1.9 ETH,1.45 ETH,0.68 ETH,0.27 ETH
胖比特,https://www.fatbtc.com,B,5,1.9 ETH,1.45 ETH,0.68 ETH,0.27 ETH
BiKi,https://www.biki.com,B,5,1.9 ETH,1.45 ETH,0.68 ETH,0.27 ETH
Coincheck,https://coincheck.com/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
Bitbank,https://bitbank.cc,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
BCEX,https://www.bcex.hk,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
AEX,https://www.aex.com/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
东方交易所,https://www.dfex.com/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
炒客网,https://www.chaoex.info,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
Zaif,https://zaif.jp,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
BKEX,https://www.bkex.vip,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
Q网,https://www.myqbtc.com,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
OkCoin国际,https://www.okcoin.com,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
柯宾汉,https://www.cobinhood.com/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
FUBT,https://www.fubt.com,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
WR.NET,https://www.wr.net/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
DragonEx,https://dragonex.im/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
BIONE,https://www.bione.cc/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
KKCoin,https://www.kkcoin.com,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
Exmo,https://exmo.com/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
CoinBene,https://www.coinbene.com/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
币虎全球BihuEX,https://bihuex.com/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
OTCBTC,https://otcbtc.com,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
Allcoin,https://www.allcoinex.io,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
IDCM,https://www.idcm.cc/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
IDEX,https://idex.market,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
Livecoin,https://www.livecoin.net/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
OCX,https://www.ocx.app/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
VVBTC,http://www.vvbtc.com,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
Hubi,https://www.hubi.com/,B,4,1.74 ETH,1.38 ETH,0.65 ETH,0.22 ETH
币钻,https://www.bzex.co,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
Tidex,https://tidex.com/,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
BitBay,https://bitbay.net,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
Luno,https://www.luno.com,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
比太网,https://www.btex.com/,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
Bitso,https://bitso.com,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
Bitget,https://www.bitget.cc/,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
Y网,https://y.ceo,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
BTCBOX,https://www.btcbox.co.jp/,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
火币韩国站,https://www.huobi.co.kr/,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
ZG.com,https://www.zg.com/,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
牛盾交易所,https://www.newtonxchange.pro/,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
itBit,https://www.itbit.com,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
STEX,https://www.stex.com,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
酷币,https://www.coolcoin.com,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
KKEX,https://kkex.com,C,3,1.4 ETH,1.0 ETH,0.4 ETH,0.15 ETH
融币,https://www.rongbiexchange.com,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
ZZEX,https://www.zzex.pro,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
EZB,https://www.ezb.com,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
OkCoin韩国站,https://www.okcoinkr.com/,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
DSX,https://dsx.uk,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
Bitzon,https://www.bitzon.com/,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
Fisco,https://fcce.jp,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
Bleutrade,https://bleutrade.com,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
HPX,https://www.hpx.com/,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
Kuna,https://kuna.io,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
ACX,https://acx.io/,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
BG交易所,http://www.bg.ink,C,2,1.28 ETH,1.0 ETH,0.29 ETH,0.15 ETH
Rfinex,https://www.rfinex.com/,C,1,1.2 ETH,1.0 ETH,0.19 ETH,0.15 ETH
CEO交易所,https://ceohk.bi,C,1,1.2 ETH,1.0 ETH,0.19 ETH,0.15 ETH
YEX,https://yex.com/,C,1,1.2 ETH,1.0 ETH,0.19 ETH,0.15 ETH
EMEX,https://www.emex.cc/,C,0,1.0 ETH,0.5 ETH,0.15 ETH,0.08 ETH
星客,https://www.silktraderdk.net,C,0,1.0 ETH,0.49 ETH,0.15 ETH,0.08 ETH
趣币网,https://www.qubi.top,C,0,1.0 ETH,0.49 ETH,0.15 ETH,0.08 ETH
GAEA,https://www.gmex.io,C,0,1.0 ETH,0.48 ETH,0.15 ETH,0.08 ETH
币网,http://www.bw.com/,C,0,1.0 ETH,0.48 ETH,0.15 ETH,0.08 ETH
币夫,https://www.bitforex.com/,C,0,1.0 ETH,0.47 ETH,0.15 ETH,0.08 ETH
币尔,https://www.coineal.com/,C,0,1.0 ETH,0.46 ETH,0.15 ETH,0.08 ETH
BitAsset,https://www.bitasset.com/,C,0,1.0 ETH,0.46 ETH,0.15 ETH,0.08 ETH
IOAEX,http://www.ioaex.com,C,0,1.0 ETH,0.45 ETH,0.15 ETH,0.08 ETH
ZGK,https://www.zgk.com/,C,0,1.0 ETH,0.45 ETH,0.15 ETH,0.08 ETH
BitMart,https://www.bitmart.com/,C,0,1.0 ETH,0.44 ETH,0.15 ETH,0.08 ETH
澳洲U网,https://www.ucoin.pw,C,0,1.0 ETH,0.43 ETH,0.15 ETH,0.08 ETH
LBank,https://www.lbkex.com/,C,0,1.0 ETH,0.43 ETH,0.15 ETH,0.08 ETH
币湾交易所,https://www.coinbay.tw,C,0,1.0 ETH,0.42 ETH,0.15 ETH,0.08 ETH
RightBTC,https://www.rightbtc.com,C,0,1.0 ETH,0.41 ETH,0.15 ETH,0.08 ETH
币新,https://www.coinnew.io,C,0,1.0 ETH,0.41 ETH,0.15 ETH,0.08 ETH
MXC,https://www.mxc.com,C,0,1.0 ETH,0.4 ETH,0.15 ETH,0.08 ETH
Hopex,https://www.hopex.com,C,0,1.0 ETH,0.39 ETH,0.15 ETH,0.08 ETH
多比交易平台,https://www.dobiexchange.com/,C,0,1.0 ETH,0.38 ETH,0.15 ETH,0.08 ETH
币峰,https://www.befong.com,C,0,1.0 ETH,0.38 ETH,0.15 ETH,0.08 ETH
VVEX,https://www.vvex.love/,C,0,1.0 ETH,0.37 ETH,0.15 ETH,0.08 ETH
汇币网,https://hb.top,C,0,1.0 ETH,0.36 ETH,0.15 ETH,0.08 ETH
