厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
Bithumb,https://www.bithumb.com/,A,0.9767,无上限,无上限,3.45 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.9535,无上限,无上限,3.4 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.8837,无上限,无上限,3.25 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.8605,无上限,无上限,3.21 ETH,0.58 ETH
HitBTC,https://hitbtc.com,A,0.7907,无上限,无上限,3.07 ETH,0.57 ETH
Bibox,https://www.bibox.com/,A,0.7442,无上限,无上限,2.98 ETH,0.56 ETH
Upbit,https://upbit.com/home,A,0.6977,无上限,无上限,2.9 ETH,0.55 ETH
Bit-Z,https://www.bit-z.pro/,A,0.6512,无上限,无上限,2.81 ETH,0.54 ETH
Bitfinex,https://www.bitfinex.com,A,0.6279,无上限,无上限,2.77 ETH,0.54 ETH
ZB网,https://www.zb.com,A,0.6047,无上限,无上限,2.73 ETH,0.54 ETH
Liquid,https://www.liquid.com/,A,0.5116,无上限,无上限,2.58 ETH,0.52 ETH
币赢国际站,https://www.coinw.me,A,0.4884,无上限,无上限,2.54 ETH,0.52 ETH
DigiFinex,https://www.digifinex.com,A,0.4651,无上限,无上限,2.5 ETH,0.51 ETH
BCEX,https://www.bcex.top,A,0.3023,无上限,无上限,2.26 ETH,0.48 ETH
K网,https://www.kraken.com,A,0.2791,无上限,无上限,2.23 ETH,0.48 ETH
FCoin,https://www.fcoin.com/,A,0.2558,无上限,无上限,2.2 ETH,0.47 ETH
币网,http://www.bw.com/,A,0.9302,无上限,无上限,3.35 ETH,0.59 ETH
IDCM,https://www.idcm.io/,A,0.2093,无上限,无上限,2.13 ETH,0.47 ETH
Coinbase Pro,https://pro.coinbase.com/,A,0.1628,无上限,无上限,2.07 ETH,0.46 ETH
Exrates,https://lk.exrates.me,A,0.1163,无上限,无上限,2.01 ETH,0.45 ETH
Bit.cc,https://www.bit.cc/,A,0.093,无上限,无上限,1.98 ETH,0.44 ETH
HB.top汇币网,https://hb.top,B,0.9697,1.49 ETH,1.0 ETH,0.6 ETH,0.24 ETH
Bitbank,https://bitbank.cc,B,0.9394,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
Allcoin,https://www.allcoinex.io,B,0.9242,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
DragonEx,https://dragonex.im/,B,0.8939,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
香港富比特,http://www.fubt.top/,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
IDAX,https://www.idax.mn,A,0.3721,无上限,无上限,2.36 ETH,0.5 ETH
CoinTiger,https://www.cointiger.pro,B,0.7879,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
Bitstamp,https://www.bitstamp.net,B,0.7424,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
bitFlyer,https://bitflyer.jp/,B,0.7121,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
MXC,https://www.mxc.com,A,0.5581,无上限,无上限,2.65 ETH,0.53 ETH
比特儿海外版,https://gateio.io/,B,0.5758,1.38 ETH,1.0 ETH,0.53 ETH,0.16 ETH
ZG.TOP,https://www.zg.top/,B,0.5606,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.6667,1.4 ETH,1.0 ETH,0.55 ETH,0.19 ETH
KKCoin,https://www.kkcoin.com,A,0.5814,无上限,无上限,2.69 ETH,0.53 ETH
AT交易所,https://www.at3.com/,B,0.5303,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
B网,https://bittrex.com,B,0.697,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
YOEXS,https://yoe.im,B,0.4545,1.34 ETH,1.0 ETH,0.51 ETH,0.14 ETH
满币网,https://www.coinbene.com/,A,0.7209,无上限,无上限,2.94 ETH,0.56 ETH
P网,https://poloniex.com,B,0.4091,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
双子星,https://gemini.com/,B,0.3485,1.31 ETH,1.0 ETH,0.49 ETH,0.11 ETH
Q网,https://www.myqbtc.com,B,0.3636,1.32 ETH,1.0 ETH,0.49 ETH,0.11 ETH
胖比特,https://www.fatbtc.com,B,0.3939,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
itBit,https://www.itbit.com,B,0.2121,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
Exmo,https://exmo.com/,B,0.1212,1.26 ETH,1.0 ETH,0.45 ETH,0.04 ETH
炒客网,https://www.chaoex.io,B,0.4394,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
Coinone,https://coinone.co.kr/,B,0.0758,1.24 ETH,1.0 ETH,0.44 ETH,0.03 ETH
Coincheck,https://coincheck.com/,B,0.5,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
HPX,https://www.hpx.com/,B,0.0152,1.23 ETH,1.0 ETH,0.43 ETH,0.01 ETH
YoBit,https://yobit.net,B,0.2727,1.29 ETH,1.0 ETH,0.48 ETH,0.09 ETH
BTCBOX,https://www.btcbox.co.jp/,C,0.949,1.19 ETH,0.8 ETH,0.29 ETH,0.09 ETH
BitBay,https://bitbay.net,C,0.8776,1.19 ETH,0.79 ETH,0.28 ETH,0.08 ETH
KuCoin,https://www.kucoin.com,C,0.9184,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
Livecoin,https://www.livecoin.net/,C,0.8673,1.19 ETH,0.79 ETH,0.28 ETH,0.08 ETH
Zaif,https://zaif.jp,C,0.8265,1.18 ETH,0.78 ETH,0.27 ETH,0.08 ETH
FEX,https://fexpro.io/,C,0.7857,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
酷币,https://www.coolcoin.com,C,0.7449,1.17 ETH,0.78 ETH,0.25 ETH,0.07 ETH
柯宾汉,https://www.cobinhood.com/,C,0.6531,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
李逵,https://liqui.io/,C,0.6429,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
OkCoin韩国站,https://www.okcoinkr.com/,B,0.2879,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
Tidex,https://tidex.com/,C,0.5612,1.15 ETH,0.76 ETH,0.21 ETH,0.03 ETH
YEX,http://yex.com/,C,0.6633,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
Luno,https://www.luno.com,C,0.4796,1.14 ETH,0.75 ETH,0.19 ETH,0.02 ETH
BX Thailand,https://bx.in.th,C,0.4184,1.14 ETH,0.75 ETH,0.17 ETH,0.01 ETH
DSX,https://dsx.uk,C,0.4286,1.14 ETH,0.75 ETH,0.18 ETH,0.01 ETH
BTC Markets,https://btcmarkets.net/,C,0.398,1.14 ETH,0.74 ETH,0.17 ETH,0.01 ETH
DeBi,https://www.debi.com/,C,0.3673,1.13 ETH,0.74 ETH,0.16 ETH,0.01 ETH
STEX,https://www.stex.com,C,0.4898,1.15 ETH,0.75 ETH,0.19 ETH,0.02 ETH
C网,https://www.cryptopia.co.nz,C,0.3571,1.13 ETH,0.74 ETH,0.16 ETH,0.01 ETH
Bitso,https://bitso.com,C,0.3469,1.13 ETH,0.74 ETH,0.16 ETH,0.01 ETH
xBTCe,https://www.xbtce.com/,C,0.5408,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
Rfinex,https://www.rfinex.com/,C,0.3163,1.13 ETH,0.74 ETH,0.15 ETH,0.01 ETH
CEO交易所,https://ceo.bi,B,0.0606,1.24 ETH,1.0 ETH,0.44 ETH,0.02 ETH
OkCoin国际,https://www.okcoin.com,C,0.2959,1.13 ETH,0.73 ETH,0.14 ETH,0.01 ETH
CREX24,https://crex24.com/zh/,C,0.2653,1.12 ETH,0.73 ETH,0.13 ETH,0.01 ETH
IDEX,https://idex.market,C,0.8367,1.18 ETH,0.79 ETH,0.27 ETH,0.08 ETH
hellobts,https://www.hellobts.com/,C,0.2143,1.12 ETH,0.73 ETH,0.12 ETH,0.01 ETH
GDEX,https://www.gdex.io/,C,0.2245,1.12 ETH,0.73 ETH,0.12 ETH,0.01 ETH
BigOne,https://big.one,C,0.8878,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
ACX,https://acx.io/,C,0.1633,1.11 ETH,0.72 ETH,0.1 ETH,0.01 ETH
VNBIG,http://www.vnbig.com/,C,0.051,1.1 ETH,0.71 ETH,0.07 ETH,0.01 ETH
BoxEx,https://ex.btcbox.com/,C,0.0918,1.1 ETH,0.71 ETH,0.08 ETH,0.01 ETH
Kuna,https://kuna.io,C,0.0816,1.1 ETH,0.71 ETH,0.08 ETH,0.01 ETH
OTCBTC,https://otcbtc.com,C,0.1122,1.11 ETH,0.72 ETH,0.09 ETH,0.01 ETH
Bleutrade,https://bleutrade.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
Fisco,https://fcce.jp,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
KKEX,https://kkex.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
COINNEST,http://www.coinnest.co.kr,C,0.0204,1.1 ETH,0.71 ETH,0.06 ETH,0.01 ETH
WEX,https://wex.nz,C,0.5306,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
加勒比H网,http://hht.one/,B,0.803,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
趣币网,https://www.qubi.com,A,0.907,无上限,无上限,3.3 ETH,0.59 ETH
IOAEX,http://www.ioaex.com,A,0.6744,无上限,无上限,2.85 ETH,0.55 ETH
VVBTC,http://www.vvbtc.com,A,0.5349,无上限,无上限,2.62 ETH,0.52 ETH
BQEX,https://www.bqex.pro/,A,0.4186,无上限,无上限,2.43 ETH,0.5 ETH
XTRA,https://www.xtraex.com/,A,0.3953,无上限,无上限,2.4 ETH,0.5 ETH
Huobi DM,https://www.hbdm.com,A,0.3488,无上限,无上限,2.33 ETH,0.49 ETH
币万,http://www.bione.cc/,A,0.3256,无上限,无上限,2.29 ETH,0.49 ETH
