厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
Bithumb,https://www.bithumb.com/,A,0.9773,无上限,无上限,3.45 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.9318,无上限,无上限,3.35 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.8864,无上限,无上限,3.26 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.8409,无上限,无上限,3.17 ETH,0.58 ETH
ZB网,https://www.zb.com,A,0.7273,无上限,无上限,2.95 ETH,0.56 ETH
Bibox,https://www.bibox.com/,A,0.7045,无上限,无上限,2.91 ETH,0.55 ETH
Bit-Z,https://www.bit-z.pro/,A,0.6818,无上限,无上限,2.87 ETH,0.55 ETH
HitBTC,https://hitbtc.com,A,0.6591,无上限,无上限,2.83 ETH,0.55 ETH
Bitfinex,https://www.bitfinex.com,A,0.5909,无上限,无上限,2.71 ETH,0.53 ETH
币赢国际站,https://www.coinw.me,A,0.4545,无上限,无上限,2.49 ETH,0.51 ETH
DigiFinex,https://www.digifinex.com,A,0.3409,无上限,无上限,2.32 ETH,0.49 ETH
Upbit,https://upbit.com/home,A,0.3182,无上限,无上限,2.28 ETH,0.49 ETH
Liquid,https://www.liquid.com/,A,0.1818,无上限,无上限,2.1 ETH,0.46 ETH
FCoin,https://www.fcoin.com/,A,0.1591,无上限,无上限,2.07 ETH,0.46 ETH
Bit.cc,https://www.bit.cc/,A,0.2955,无上限,无上限,2.25 ETH,0.48 ETH
币网,http://www.bw.com/,A,0.9545,无上限,无上限,3.4 ETH,0.59 ETH
K网,https://www.kraken.com,A,0.0455,无上限,无上限,1.92 ETH,0.43 ETH
Allcoin,https://www.allcoinex.io,A,0.0227,无上限,无上限,1.9 ETH,0.43 ETH
Coinbase Pro,https://pro.coinbase.com/,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
IDCM,https://www.idcm.io/,B,0.9706,1.49 ETH,1.0 ETH,0.6 ETH,0.24 ETH
BCEX,https://www.bcex.top,A,0.2727,无上限,无上限,2.22 ETH,0.48 ETH
HB.top汇币网,https://hb.top,B,0.9265,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
DragonEx,https://dragonex.im/,B,0.9412,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
香港富比特,http://www.fubt.top/,A,0.1136,无上限,无上限,2.01 ETH,0.45 ETH
IDAX,https://www.idax.mn,A,0.2045,无上限,无上限,2.13 ETH,0.46 ETH
CoinTiger,https://www.cointiger.pro,B,0.8824,1.46 ETH,1.0 ETH,0.58 ETH,0.23 ETH
ZG.TOP,https://www.zg.top/,B,0.8382,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
Bitstamp,https://www.bitstamp.net,B,0.7941,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
Bitbank,https://bitbank.cc,B,0.7794,1.43 ETH,1.0 ETH,0.57 ETH,0.21 ETH
MXC,https://www.mxc.com,A,0.5,无上限,无上限,2.56 ETH,0.52 ETH
AT交易所,https://www.at3.com/,B,0.7059,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
KKCoin,https://www.kkcoin.com,A,0.4773,无上限,无上限,2.52 ETH,0.51 ETH
bitFlyer,https://bitflyer.jp/,B,0.6324,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.7206,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
ZZEX,https://www.zzex.pro,B,0.5735,1.38 ETH,1.0 ETH,0.53 ETH,0.16 ETH
炒客网,https://www.chaoex.io,B,0.6765,1.4 ETH,1.0 ETH,0.55 ETH,0.19 ETH
比特儿海外版,https://gateio.io/,B,0.5,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
YOEXS,https://yoe.im,B,0.4706,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
B网,https://bittrex.com,B,0.7647,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
满币网,https://www.coinbene.com/,A,0.7727,无上限,无上限,3.04 ETH,0.56 ETH
P网,https://poloniex.com,B,0.4412,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
Q网,https://www.myqbtc.com,B,0.3235,1.31 ETH,1.0 ETH,0.49 ETH,0.1 ETH
YoBit,https://yobit.net,B,0.4853,1.35 ETH,1.0 ETH,0.52 ETH,0.14 ETH
胖比特,https://www.fatbtc.com,B,0.3824,1.32 ETH,1.0 ETH,0.5 ETH,0.12 ETH
双子星,https://gemini.com/,B,0.2206,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
Coincheck,https://coincheck.com/,B,0.5588,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
Exmo,https://exmo.com/,B,0.1176,1.25 ETH,1.0 ETH,0.45 ETH,0.04 ETH
