厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
Bithumb,https://www.bithumb.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
BitMEX,https://www.bitmex.com/,A,0.975,无上限,无上限,3.45 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.95,无上限,无上限,3.39 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.875,无上限,无上限,3.24 ETH,0.58 ETH
Bit-Z,https://www.bit-z.pro/,A,0.85,无上限,无上限,3.19 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.825,无上限,无上限,3.14 ETH,0.57 ETH
Bibox,https://www.bibox.com/,A,0.8,无上限,无上限,3.09 ETH,0.57 ETH
HitBTC,https://hitbtc.com,A,0.75,无上限,无上限,2.99 ETH,0.56 ETH
DigiFinex,https://www.digifinex.com,A,0.7,无上限,无上限,2.9 ETH,0.55 ETH
FCoin,https://www.fcoin.com/,A,0.65,无上限,无上限,2.81 ETH,0.54 ETH
ZB网,https://www.zb.com,A,0.6,无上限,无上限,2.72 ETH,0.54 ETH
IDAX,https://www.idax.pro/,A,0.475,无上限,无上限,2.52 ETH,0.51 ETH
Upbit,https://upbit.com/home,A,0.425,无上限,无上限,2.44 ETH,0.51 ETH
BITKER,https://www.bitker.com/,A,0.4,无上限,无上限,2.4 ETH,0.5 ETH
Bitfinex,https://www.bitfinex.com,A,0.4,无上限,无上限,2.4 ETH,0.5 ETH
BCEX,https://www.bcex.top,A,0.325,无上限,无上限,2.29 ETH,0.49 ETH
币赢国际站,https://www.coinw.ai/,A,0.275,无上限,无上限,2.22 ETH,0.48 ETH
CoinTiger,https://www.cointiger.pro,A,0.25,无上限,无上限,2.19 ETH,0.47 ETH
Bit.cc,https://www.bit.cc/,A,0.225,无上限,无上限,2.15 ETH,0.47 ETH
Liquid,https://www.liquid.com/,A,0.175,无上限,无上限,2.09 ETH,0.46 ETH
DragonEx,https://dragonex.im/,A,0.1,无上限,无上限,1.99 ETH,0.44 ETH
Allcoin,https://www.allcoinex.io,A,0.05,无上限,无上限,1.93 ETH,0.44 ETH
炒客网,https://www.chaoex.info,A,0.025,无上限,无上限,1.9 ETH,0.43 ETH
K网,https://www.kraken.com,B,0.9833,1.49 ETH,1.0 ETH,0.6 ETH,0.25 ETH
Coinbase Pro,https://pro.coinbase.com/,B,0.9667,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
IDCM,https://www.idcm.cc/,B,0.95,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
ZG.TOP,https://www.zg.top/,B,0.9,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
香港富比特,http://www.fubt.top/,B,0.8,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
Bikicoin,https://www.bikicoin.com,B,0.7333,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
东方交易所,https://www.dfex.com/,B,0.6833,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
胖比特,https://www.fatbtc.com,B,0.6667,1.4 ETH,1.0 ETH,0.55 ETH,0.19 ETH
BIONE,https://www.bione.cc/,B,0.6,1.38 ETH,1.0 ETH,0.54 ETH,0.17 ETH
Bitstamp,https://www.bitstamp.net,B,0.5667,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
Q网,https://www.myqbtc.com,B,0.5333,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
Hubi,https://www.hubi.com/,B,0.4333,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.4,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
gate.io,https://gateio.news/,B,0.3667,1.32 ETH,1.0 ETH,0.49 ETH,0.11 ETH
ZZEX,https://www.zzex.pro,B,0.3667,1.32 ETH,1.0 ETH,0.49 ETH,0.11 ETH
KKCoin,https://www.kkcoin.com,B,0.3333,1.31 ETH,1.0 ETH,0.49 ETH,0.1 ETH
B网,https://bittrex.com,B,0.3167,1.31 ETH,1.0 ETH,0.49 ETH,0.1 ETH
Bitbank,https://bitbank.cc,B,0.2833,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
AT交易所,https://www.at3.io/,B,0.2333,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
bitFlyer,https://bitflyer.jp/,B,0.2,1.28 ETH,1.0 ETH,0.46 ETH,0.06 ETH
满币网,https://www.coinbene.com/,B,0.4667,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
Y网,https://y.ceo,B,0.1,1.25 ETH,1.0 ETH,0.44 ETH,0.03 ETH
双子星,https://gemini.com/,B,0.05,1.24 ETH,1.0 ETH,0.44 ETH,0.02 ETH
Exmo,https://exmo.com/,C,0.9756,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
P网,https://poloniex.com,C,0.9268,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
YoBit,https://yobit.net,C,0.8902,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
BTCBOX,https://www.btcbox.co.jp/,C,0.8415,1.18 ETH,0.79 ETH,0.27 ETH,0.08 ETH
itBit,https://www.itbit.com,C,0.8293,1.18 ETH,0.78 ETH,0.27 ETH,0.08 ETH
HPX,https://www.hpx.com/,C,0.8049,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
Coinone,https://coinone.co.kr/,C,0.7805,1.18 ETH,0.78 ETH,0.26 ETH,0.07 ETH
FEX,https://fexpro.net/,C,0.7561,1.17 ETH,0.78 ETH,0.25 ETH,0.07 ETH
KuCoin,https://www.kucoin.com,C,0.7439,1.17 ETH,0.78 ETH,0.25 ETH,0.07 ETH
Livecoin,https://www.livecoin.net/,C,0.7195,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
Zaif,https://zaif.jp,C,0.7073,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
酷币,https://www.coolcoin.com,C,0.6951,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
Coincheck,https://coincheck.com/,C,0.6707,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
BitBay,https://bitbay.net,C,0.6585,1.16 ETH,0.77 ETH,0.23 ETH,0.05 ETH
Tidex,https://tidex.com/,C,0.5976,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
Luno,https://www.luno.com,C,0.5366,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
