厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
Bithumb,https://www.bithumb.com/,A,0.975,无上限,无上限,3.45 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.95,无上限,无上限,3.39 ETH,0.59 ETH
OKEX,https://www.okex.com,A,0.925,无上限,无上限,3.34 ETH,0.59 ETH
Upbit,https://upbit.com/home,A,0.875,无上限,无上限,3.24 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.85,无上限,无上限,3.19 ETH,0.58 ETH
DigiFinex,https://www.digifinex.com,A,0.75,无上限,无上限,2.99 ETH,0.56 ETH
Bitfinex,https://www.bitfinex.com,A,0.7,无上限,无上限,2.9 ETH,0.55 ETH
Bit-Z,https://www.bit-z.pro/,A,0.675,无上限,无上限,2.86 ETH,0.55 ETH
ZB网,https://www.zb.com,A,0.55,无上限,无上限,2.64 ETH,0.53 ETH
HitBTC,https://hitbtc.com,A,0.525,无上限,无上限,2.6 ETH,0.52 ETH
Bibox,https://www.bibox.com/,A,0.45,无上限,无上限,2.48 ETH,0.51 ETH
Coinbase Pro,https://pro.coinbase.com/,A,0.425,无上限,无上限,2.44 ETH,0.51 ETH
币赢国际站,https://www.coinw.me,A,0.35,无上限,无上限,2.33 ETH,0.49 ETH
Liquid,https://www.liquid.com/,A,0.325,无上限,无上限,2.29 ETH,0.49 ETH
IDAX,https://www.idax.pro/,A,0.3,无上限,无上限,2.26 ETH,0.48 ETH
K网,https://www.kraken.com,A,0.25,无上限,无上限,2.19 ETH,0.47 ETH
Bitbank,https://bitbank.cc,A,0.125,无上限,无上限,2.02 ETH,0.45 ETH
FCoin,https://www.fcoin.com/,A,0.1,无上限,无上限,1.99 ETH,0.44 ETH
香港富比特,http://www.fubt.top/,A,0.075,无上限,无上限,1.96 ETH,0.44 ETH
Bit.cc,https://www.bit.cc/,A,0.025,无上限,无上限,1.9 ETH,0.43 ETH
DragonEx,https://dragonex.im/,B,0.9833,1.49 ETH,1.0 ETH,0.6 ETH,0.25 ETH
