厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
火币全球站,https://www.huobi.co,A,0.9091,无上限,无上限,3.31 ETH,0.59 ETH
币安网,https://www.binance.com,A,0.7273,无上限,无上限,2.95 ETH,0.56 ETH
OKEX,https://www.okex.com,A,0.5909,无上限,无上限,2.71 ETH,0.53 ETH
HitBTC,https://hitbtc.com,A,0.5,无上限,无上限,2.56 ETH,0.52 ETH
Bithumb,https://www.bithumb.com/,A,0.4545,无上限,无上限,2.49 ETH,0.51 ETH
Bibox,https://www.bibox.com/,A,0.4091,无上限,无上限,2.42 ETH,0.5 ETH
ZB网,https://www.zb.com,A,0.3182,无上限,无上限,2.28 ETH,0.49 ETH
币赢国际站,https://www.coinw.ai/,A,0.2727,无上限,无上限,2.22 ETH,0.48 ETH
Bit-Z,https://www.bitz.com/,A,0.2273,无上限,无上限,2.16 ETH,0.47 ETH
BiKi,https://www.biki.com,A,0.1364,无上限,无上限,2.04 ETH,0.45 ETH
BitMEX,https://www.bitmex.com/,B,1.0,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
DigiFinex,https://www.digifinex.com,B,0.9773,1.49 ETH,1.0 ETH,0.6 ETH,0.25 ETH
ZT.COM,https://www.zt.com/,B,0.9545,1.49 ETH,1.0 ETH,0.59 ETH,0.24 ETH
东方交易所,https://www.dfex.com/,B,0.8409,1.45 ETH,1.0 ETH,0.58 ETH,0.22 ETH
IDAX,https://www.idax.pro/,B,0.8182,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
雷盾交易所,https://www.loex.io,B,0.7727,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
BCEX,https://www.bcex.hk,B,0.7045,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
胖比特,https://www.fatbtc.com,B,0.6818,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
Upbit,https://upbit.com/home,B,0.5909,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.5682,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
OCX,https://www.ocx.com/,B,0.5455,1.37 ETH,1.0 ETH,0.53 ETH,0.16 ETH
CoinTiger,https://www.cointiger.one,B,0.5227,1.36 ETH,1.0 ETH,0.52 ETH,0.15 ETH
ZG.TOP,https://www.zg.top/,B,0.4545,1.34 ETH,1.0 ETH,0.51 ETH,0.14 ETH
IDCM,https://www.idcm.cc/,B,0.4318,1.34 ETH,1.0 ETH,0.51 ETH,0.13 ETH
BITKER,https://www.bitker.com/,B,0.3636,1.32 ETH,1.0 ETH,0.49 ETH,0.11 ETH
