厂商名,域名,厂商级别,厂商排位,严重最高奖励,高危最高奖励,中危最高奖励,低危最高奖励
BitMEX,https://www.bitmex.com/,A,1.0,无上限,无上限,3.5 ETH,0.6 ETH
Bithumb,https://www.bithumb.com/,A,0.9767,无上限,无上限,3.45 ETH,0.6 ETH
币安网,https://www.binance.com,A,0.8837,无上限,无上限,3.25 ETH,0.58 ETH
OKEX,https://www.okex.com,A,0.8605,无上限,无上限,3.21 ETH,0.58 ETH
火币全球站,https://www.huobi.co,A,0.8372,无上限,无上限,3.16 ETH,0.57 ETH
Bitfinex,https://www.bitfinex.com,A,0.7209,无上限,无上限,2.94 ETH,0.56 ETH
ZB网,https://www.zb.com,A,0.6279,无上限,无上限,2.77 ETH,0.54 ETH
HitBTC,https://hitbtc.com,A,0.6047,无上限,无上限,2.73 ETH,0.54 ETH
Bibox,https://www.bibox.com/,A,0.5814,无上限,无上限,2.69 ETH,0.53 ETH
币赢国际站,https://www.coinw.me,A,0.5116,无上限,无上限,2.58 ETH,0.52 ETH
Bit-Z,https://www.bit-z.pro/,A,0.4884,无上限,无上限,2.54 ETH,0.52 ETH
Upbit,https://upbit.com/home,A,0.4651,无上限,无上限,2.5 ETH,0.51 ETH
DigiFinex,https://www.digifinex.com,A,0.4419,无上限,无上限,2.47 ETH,0.51 ETH
Exrates,https://lk.exrates.me,A,0.4186,无上限,无上限,2.43 ETH,0.5 ETH
Liquid,https://www.liquid.com/,A,0.3953,无上限,无上限,2.4 ETH,0.5 ETH
FCoin,https://www.fcoin.com/,A,0.3256,无上限,无上限,2.29 ETH,0.49 ETH
币网,http://www.bw.com/,A,0.9535,无上限,无上限,3.4 ETH,0.59 ETH
K网,https://www.kraken.com,A,0.3023,无上限,无上限,2.26 ETH,0.48 ETH
Bit.cc,https://www.bit.cc/,A,0.2558,无上限,无上限,2.2 ETH,0.47 ETH
Coinbase Pro,https://pro.coinbase.com/,A,0.093,无上限,无上限,1.98 ETH,0.44 ETH
BCEX,https://www.bcex.top,A,0.0465,无上限,无上限,1.93 ETH,0.43 ETH
IDCM,https://www.idcm.io/,A,0.0233,无上限,无上限,1.9 ETH,0.43 ETH
HB.top汇币网,https://hb.top,B,0.9848,1.5 ETH,1.0 ETH,0.6 ETH,0.25 ETH
DragonEx,https://dragonex.im/,B,0.9242,1.48 ETH,1.0 ETH,0.59 ETH,0.24 ETH
香港富比特,http://www.fubt.top/,B,0.9091,1.47 ETH,1.0 ETH,0.59 ETH,0.23 ETH
CoinTiger,https://www.cointiger.pro,B,0.8485,1.45 ETH,1.0 ETH,0.58 ETH,0.22 ETH
IDAX,https://www.idax.mn,B,0.8333,1.45 ETH,1.0 ETH,0.57 ETH,0.22 ETH
ZG.TOP,https://www.zg.top/,B,0.803,1.44 ETH,1.0 ETH,0.57 ETH,0.21 ETH
Bitbank,https://bitbank.cc,B,0.7727,1.43 ETH,1.0 ETH,0.56 ETH,0.21 ETH
Allcoin,https://www.allcoinex.io,B,0.7576,1.43 ETH,1.0 ETH,0.56 ETH,0.2 ETH
Bitstamp,https://www.bitstamp.net,B,0.7273,1.42 ETH,1.0 ETH,0.56 ETH,0.2 ETH
AT交易所,https://www.at3.com/,B,0.6818,1.41 ETH,1.0 ETH,0.55 ETH,0.19 ETH
MXC,https://www.mxc.com,A,0.2326,无上限,无上限,2.16 ETH,0.47 ETH
bitFlyer,https://bitflyer.jp/,B,0.5909,1.38 ETH,1.0 ETH,0.53 ETH,0.17 ETH
KKCoin,https://www.kkcoin.com,B,0.4697,1.35 ETH,1.0 ETH,0.51 ETH,0.14 ETH
B网,https://bittrex.com,B,0.4242,1.33 ETH,1.0 ETH,0.5 ETH,0.13 ETH
币虎全球BihuEX,https://bihuex.com/,B,0.6364,1.39 ETH,1.0 ETH,0.54 ETH,0.18 ETH
YOEXS,https://yoe.im,B,0.3939,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
比特儿海外版,https://gateio.io/,B,0.3788,1.32 ETH,1.0 ETH,0.5 ETH,0.12 ETH
满币网,https://www.coinbene.com/,A,0.7442,无上限,无上限,2.98 ETH,0.56 ETH
炒客网,https://www.chaoex.io,B,0.4848,1.35 ETH,1.0 ETH,0.52 ETH,0.14 ETH
P网,https://poloniex.com,B,0.2576,1.29 ETH,1.0 ETH,0.47 ETH,0.08 ETH
Q网,https://www.myqbtc.com,B,0.303,1.3 ETH,1.0 ETH,0.48 ETH,0.09 ETH
胖比特,https://www.fatbtc.com,B,0.3333,1.31 ETH,1.0 ETH,0.49 ETH,0.1 ETH
双子星,https://gemini.com/,B,0.1667,1.27 ETH,1.0 ETH,0.46 ETH,0.05 ETH
YoBit,https://yobit.net,B,0.3182,1.31 ETH,1.0 ETH,0.49 ETH,0.1 ETH
Exmo,https://exmo.com/,B,0.0909,1.25 ETH,1.0 ETH,0.44 ETH,0.03 ETH
itBit,https://www.itbit.com,B,0.0758,1.24 ETH,1.0 ETH,0.44 ETH,0.03 ETH
BTCBOX,https://www.btcbox.co.jp/,C,1.0,1.2 ETH,0.8 ETH,0.3 ETH,0.1 ETH
Coincheck,https://coincheck.com/,B,0.4091,1.33 ETH,1.0 ETH,0.5 ETH,0.12 ETH
Coinone,https://coinone.co.kr/,C,0.9485,1.19 ETH,0.8 ETH,0.29 ETH,0.09 ETH
HPX,https://www.hpx.com/,C,0.9381,1.19 ETH,0.79 ETH,0.29 ETH,0.09 ETH
Livecoin,https://www.livecoin.net/,C,0.9175,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
FEX,https://fexpro.io/,C,0.866,1.19 ETH,0.79 ETH,0.27 ETH,0.08 ETH
BitBay,https://bitbay.net,C,0.8351,1.18 ETH,0.79 ETH,0.27 ETH,0.08 ETH
KuCoin,https://www.kucoin.com,C,0.8866,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
Zaif,https://zaif.jp,C,0.7216,1.17 ETH,0.77 ETH,0.25 ETH,0.06 ETH
酷币,https://www.coolcoin.com,C,0.7629,1.17 ETH,0.78 ETH,0.25 ETH,0.07 ETH
OkCoin韩国站,https://www.okcoinkr.com/,B,0.2273,1.28 ETH,1.0 ETH,0.47 ETH,0.07 ETH
李逵,https://liqui.io/,C,0.6907,1.17 ETH,0.77 ETH,0.24 ETH,0.06 ETH
柯宾汉,https://www.cobinhood.com/,C,0.6289,1.16 ETH,0.77 ETH,0.22 ETH,0.05 ETH
Tidex,https://tidex.com/,C,0.5979,1.16 ETH,0.76 ETH,0.22 ETH,0.04 ETH
Luno,https://www.luno.com,C,0.5361,1.15 ETH,0.76 ETH,0.2 ETH,0.03 ETH
BTC Markets,https://btcmarkets.net/,C,0.5052,1.15 ETH,0.75 ETH,0.2 ETH,0.02 ETH
DSX,https://dsx.uk,C,0.4742,1.14 ETH,0.75 ETH,0.19 ETH,0.02 ETH
Bitso,https://bitso.com,C,0.4639,1.14 ETH,0.75 ETH,0.19 ETH,0.01 ETH
YEX,http://yex.com/,C,0.6186,1.16 ETH,0.77 ETH,0.22 ETH,0.04 ETH
C网,https://www.cryptopia.co.nz,C,0.3814,1.13 ETH,0.74 ETH,0.16 ETH,0.01 ETH
BX Thailand,https://bx.in.th,C,0.3711,1.13 ETH,0.74 ETH,0.16 ETH,0.01 ETH
CEO交易所,https://ceo.bi,C,0.9691,1.2 ETH,0.8 ETH,0.29 ETH,0.1 ETH
Rfinex,https://www.rfinex.com/,C,0.3505,1.13 ETH,0.74 ETH,0.16 ETH,0.01 ETH
DeBi,https://www.debi.com/,C,0.3402,1.13 ETH,0.74 ETH,0.15 ETH,0.01 ETH
xBTCe,https://www.xbtce.com/,C,0.5464,1.15 ETH,0.76 ETH,0.21 ETH,0.03 ETH
STEX,https://www.stex.com,C,0.3918,1.14 ETH,0.74 ETH,0.17 ETH,0.01 ETH
OkCoin国际,https://www.okcoin.com,C,0.2371,1.12 ETH,0.73 ETH,0.13 ETH,0.01 ETH
CREX24,https://crex24.com/zh/,C,0.2268,1.12 ETH,0.73 ETH,0.12 ETH,0.01 ETH
IDEX,https://idex.market,C,0.8969,1.19 ETH,0.79 ETH,0.28 ETH,0.09 ETH
BigOne,https://big.one,C,0.8144,1.18 ETH,0.78 ETH,0.26 ETH,0.08 ETH
ACX,https://acx.io/,C,0.1546,1.11 ETH,0.72 ETH,0.1 ETH,0.01 ETH
VNBIG,http://www.vnbig.com/,C,0.0722,1.1 ETH,0.71 ETH,0.08 ETH,0.01 ETH
GDEX,https://www.gdex.io/,C,0.0928,1.1 ETH,0.71 ETH,0.08 ETH,0.01 ETH
hellobts,https://www.hellobts.com/,C,0.0515,1.1 ETH,0.71 ETH,0.07 ETH,0.01 ETH
Kuna,https://kuna.io,C,0.0412,1.1 ETH,0.71 ETH,0.07 ETH,0.01 ETH
BoxEx,https://ex.btcbox.com/,C,0.0309,1.1 ETH,0.71 ETH,0.06 ETH,0.01 ETH
COINNEST,http://www.coinnest.co.kr,C,0.0619,1.1 ETH,0.71 ETH,0.07 ETH,0.01 ETH
OTCBTC,https://otcbtc.com,C,0.0206,1.1 ETH,0.71 ETH,0.06 ETH,0.01 ETH
Bleutrade,https://bleutrade.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
Fisco,https://fcce.jp,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
KKEX,https://kkex.com,D,1.0,500 BUX,200 BUX,100 BUX,50 BUX
WEX,https://wex.nz,C,0.567,1.15 ETH,0.76 ETH,0.21 ETH,0.04 ETH
加勒比H网,http://hht.one/,B,0.8939,1.47 ETH,1.0 ETH,0.58 ETH,0.23 ETH
趣币网,https://www.qubi.com,A,0.9302,无上限,无上限,3.35 ETH,0.59 ETH
GAEA,https://www.gmex.io,A,0.6977,无上限,无上限,2.9 ETH,0.55 ETH
IOAEX,http://www.ioaex.com,A,0.7674,无上限,无上限,3.03 ETH,0.56 ETH
VVBTC,http://www.vvbtc.com,A,0.6512,无上限,无上限,2.81 ETH,0.54 ETH
XTRA,https://www.xtraex.com/,A,0.5581,无上限,无上限,2.65 ETH,0.53 ETH
BQEX,https://www.bqex.pro/,A,0.5349,无上限,无上限,2.62 ETH,0.52 ETH
LBank,https://www.lbkex.com/,A,0.6744,无上限,无上限,2.85 ETH,0.55 ETH
